model,target_far,threshold,far_official_test,far_validation,tar_official_test,tar_validation,frr_official_test,frr_validation,balanced_accuracy_official_test,balanced_accuracy_validation,far_shift,tar_shift,balanced_accuracy_shift
imagenet,0.001,0.986227,0.0005847006332757628,0.00091991341991342,0.0034542314335060447,0.002976190476190476,0.9965457685664939,0.9970238095238095,0.5014347654001151,0.5010281385281385,-0.00033521278663765713,0.0004780409573155687,0.00040662687197656755
imagenet,0.01,0.978928,0.006903965169833046,0.009253246753246753,0.018134715025906734,0.03273809523809524,0.9818652849740933,0.9672619047619048,0.5056153749280369,0.5117424242424242,-0.002349281583413707,-0.014603380212188505,-0.006127049314387345
imagenet,0.05,0.96987826,0.03912097006332758,0.0492965367965368,0.09153713298791019,0.13988095238095238,0.9084628670120898,0.8601190476190477,0.5262080814622913,0.5452922077922078,-0.01017556673320922,-0.04834381939304219,-0.019084126329916518
imagenet,0.1,0.9640005,0.0816152130109384,0.0992965367965368,0.18911917098445596,0.21726190476190477,0.810880829015544,0.7827380952380952,0.5537519789867588,0.5589826839826839,-0.017681323785598405,-0.028142733777448803,-0.005230704995925151
layer4_finetuned,0.001,0.9761205,0.000778101611974669,0.0008116883116883117,0.009499136442141624,0.008928571428571428,0.9905008635578584,0.9910714285714286,0.5043605174150835,0.5040584415584416,-3.358669971364277e-05,0.0005705650135701956,0.0003020758566418813
layer4_finetuned,0.01,0.9668861,0.007434693436960276,0.009956709956709957,0.045768566493955096,0.07738095238095238,0.9542314335060449,0.9226190476190477,0.5191669365284974,0.5337121212121212,-0.002522016519749681,-0.03161238588699729,-0.014545184683623757
layer4_finetuned,0.05,0.9560823,0.03927389176741508,0.048214285714285716,0.17012089810017272,0.2113095238095238,0.8298791018998273,0.7886904761904762,0.5654235031663788,0.581547619047619,-0.008940393946870635,-0.041188625709351084,-0.016124115881240186
layer4_finetuned,0.1,0.94902194,0.08308146229130685,0.0979978354978355,0.28756476683937826,0.3244047619047619,0.7124352331606217,0.6755952380952381,0.6022416522740357,0.6132034632034632,-0.014916373206528652,-0.03683999506538366,-0.010961810929427496
