model,experiment_split,condition_id,script_relation,text_relation,threshold_source,threshold,tar,frr,far,trr,balanced_accuracy,true_accepts,false_rejects,false_accepts,true_rejects
imagenet,validation,arabic_variable_same,within_arabic,variable_same,validation_global_eer,0.9396755,0.6964285714285714,0.30357142857142855,0.45584415584415583,0.5441558441558442,0.6202922077922077,39,17,1404,1676
imagenet,validation,english_variable_same,within_english,variable_same,validation_global_eer,0.9396755,0.5,0.5,0.3594155844155844,0.6405844155844156,0.5702922077922078,28,28,1107,1973
imagenet,validation,cross_variable_variable,cross_script,variable_variable,validation_global_eer,0.9396755,0.8392857142857143,0.16071428571428573,0.7006493506493506,0.29935064935064937,0.5693181818181818,47,9,2158,922
imagenet,validation,cross_variable_same,cross_script,variable_same,validation_global_eer,0.9396755,0.3392857142857143,0.6607142857142857,0.2844155844155844,0.7155844155844155,0.527435064935065,19,37,876,2204
imagenet,validation,cross_same_variable,cross_script,same_variable,validation_global_eer,0.9396755,0.3392857142857143,0.6607142857142857,0.32272727272727275,0.6772727272727272,0.5082792207792208,19,37,994,2086
imagenet,validation,cross_same_same,cross_script,same_same,validation_global_eer,0.9396755,0.6964285714285714,0.30357142857142855,0.47305194805194806,0.5269480519480519,0.6116883116883116,39,17,1457,1623
imagenet,official_test,arabic_variable_same,within_arabic,variable_same,validation_global_eer,0.9396755,0.6839378238341969,0.3160621761658031,0.4117012089810017,0.5882987910189983,0.6361183074265976,132,61,15256,21800
imagenet,official_test,english_variable_same,within_english,variable_same,validation_global_eer,0.9396755,0.6528497409326425,0.3471502590673575,0.34963298791019,0.6503670120898101,0.6516083765112263,126,67,12956,24100
imagenet,official_test,cross_variable_variable,cross_script,variable_variable,validation_global_eer,0.9396755,0.8082901554404145,0.19170984455958548,0.6724956822107081,0.3275043177892919,0.5678972366148531,156,37,24920,12136
imagenet,official_test,cross_variable_same,cross_script,variable_same,validation_global_eer,0.9396755,0.2849740932642487,0.7150259067357513,0.21470207253886012,0.7852979274611399,0.5351360103626943,55,138,7956,29100
imagenet,official_test,cross_same_variable,cross_script,same_variable,validation_global_eer,0.9396755,0.48186528497409326,0.5181347150259067,0.34145617443868737,0.6585438255613126,0.570204555267703,93,100,12653,24403
imagenet,official_test,cross_same_same,cross_script,same_same,validation_global_eer,0.9396755,0.6735751295336787,0.32642487046632124,0.4157761226252159,0.5842238773747841,0.6288995034542314,130,63,15407,21649
layer4_finetuned,validation,arabic_variable_same,within_arabic,variable_same,validation_global_eer,0.9251565,0.7678571428571429,0.23214285714285715,0.4042207792207792,0.5957792207792207,0.6818181818181819,43,13,1245,1835
layer4_finetuned,validation,english_variable_same,within_english,variable_same,validation_global_eer,0.9251565,0.7142857142857143,0.2857142857142857,0.3814935064935065,0.6185064935064936,0.6663961038961039,40,16,1175,1905
layer4_finetuned,validation,cross_variable_variable,cross_script,variable_variable,validation_global_eer,0.9251565,0.7321428571428571,0.26785714285714285,0.5353896103896104,0.4646103896103896,0.5983766233766233,41,15,1649,1431
layer4_finetuned,validation,cross_variable_same,cross_script,variable_same,validation_global_eer,0.9251565,0.39285714285714285,0.6071428571428571,0.24675324675324675,0.7532467532467533,0.573051948051948,22,34,760,2320
layer4_finetuned,validation,cross_same_variable,cross_script,same_variable,validation_global_eer,0.9251565,0.48214285714285715,0.5178571428571429,0.2662337662337662,0.7337662337662337,0.6079545454545454,27,29,820,2260
layer4_finetuned,validation,cross_same_same,cross_script,same_same,validation_global_eer,0.9251565,0.7142857142857143,0.2857142857142857,0.36623376623376624,0.6337662337662338,0.674025974025974,40,16,1128,1952
layer4_finetuned,official_test,arabic_variable_same,within_arabic,variable_same,validation_global_eer,0.9251565,0.7875647668393783,0.21243523316062177,0.3499298359240069,0.650070164075993,0.7188174654576857,152,41,12967,24089
layer4_finetuned,official_test,english_variable_same,within_english,variable_same,validation_global_eer,0.9251565,0.7823834196891192,0.21761658031088082,0.3803972366148532,0.6196027633851469,0.700993091537133,151,42,14096,22960
layer4_finetuned,official_test,cross_variable_variable,cross_script,variable_variable,validation_global_eer,0.9251565,0.7150259067357513,0.2849740932642487,0.49125647668393785,0.5087435233160622,0.6118847150259068,138,55,18204,18852
layer4_finetuned,official_test,cross_variable_same,cross_script,variable_same,validation_global_eer,0.9251565,0.37305699481865284,0.6269430051813472,0.2003454231433506,0.7996545768566494,0.5863557858376511,72,121,7424,29632
layer4_finetuned,official_test,cross_same_variable,cross_script,same_variable,validation_global_eer,0.9251565,0.48704663212435234,0.5129533678756477,0.28416450777202074,0.7158354922279793,0.6014410621761658,94,99,10530,26526
layer4_finetuned,official_test,cross_same_same,cross_script,same_same,validation_global_eer,0.9251565,0.6839378238341969,0.3160621761658031,0.317573402417962,0.6824265975820379,0.6831822107081174,132,61,11768,25288
