model,experiment_split,threshold_strategy,conditions,mean_far,mean_frr,mean_tar,mean_balanced_accuracy,mean_absolute_far_frr_gap,max_absolute_far_frr_gap
imagenet,official_test,condition_validation_eer,6,0.3802488126079447,0.41450777202072536,0.5854922279792746,0.6026217076856649,0.09665101468048361,0.14683182210708118
imagenet,official_test,global_validation_eer,6,0.40096070811744383,0.40241796200345425,0.5975820379965457,0.598310664939551,0.2242102043753598,0.5003238341968912
imagenet,validation,condition_validation_eer,6,0.4153679653679654,0.41071428571428575,0.5892857142857143,0.5869588744588744,0.00465367965367965,0.007467532467532512
imagenet,validation,global_validation_eer,6,0.4326839826839827,0.43154761904761907,0.5684523809523809,0.5678841991341991,0.2860930735930736,0.5399350649350649
layer4_finetuned,official_test,condition_validation_eer,6,0.3402732800805987,0.32815198618307423,0.6718480138169257,0.6657873668681634,0.04248074985607369,0.09795984455958551
layer4_finetuned,official_test,global_validation_eer,6,0.3372778137593552,0.36183074265975823,0.6381692573402419,0.6504457217904432,0.19390921848013817,0.4265975820379966
layer4_finetuned,validation,condition_validation_eer,6,0.3702922077922078,0.37202380952380953,0.6279761904761905,0.6288419913419913,0.0023809523809523634,0.005844155844155818
layer4_finetuned,validation,global_validation_eer,6,0.3667207792207792,0.36607142857142855,0.6339285714285715,0.6336038961038961,0.20465367965367967,0.36038961038961037
