model,experiment_split,threshold_source,threshold_rule,threshold,tar,frr,far,trr,balanced_accuracy,true_accepts,false_rejects,false_accepts,true_rejects
imagenet,validation,validation,validation_eer,0.9396755,0.5684523809523809,0.43154761904761907,0.43268398268398267,0.5673160173160173,0.5678841991341992,191,145,7996,10484
imagenet,official_test,validation,validation_eer,0.9396755,0.5975820379965457,0.40241796200345425,0.4009607081174439,0.5990392918825561,0.5983106649395509,692,466,89148,133188
layer4_finetuned,validation,validation,validation_eer,0.9251565,0.6339285714285714,0.36607142857142855,0.3667207792207792,0.6332792207792208,0.6336038961038961,213,123,6777,11703
layer4_finetuned,official_test,validation,validation_eer,0.9251565,0.6381692573402418,0.36183074265975823,0.3372778137593552,0.6627221862406448,0.6504457217904434,739,419,74989,147347
