condition,pairs,genuine,impostor,auc,eer,eer_threshold
arabic_variable_same,3136,56,3080,0.8719851576994435,0.19318181818181818,0.7363239635120739
english_variable_same,3136,56,3080,0.8401611781076067,0.25,0.7209754841668266
cross_variable_variable,3136,56,3080,0.7542439703153989,0.3168831168831169,0.6671232494440946
cross_variable_same,3136,56,3080,0.7056644248608535,0.3691558441558442,0.6354705767198042
cross_same_variable,3136,56,3080,0.7661989795918367,0.2857142857142857,0.6833857417106628
cross_same_same,3136,56,3080,0.7603954081632653,0.3035714285714286,0.6981895110186408
