epoch,adversary_train_accuracy,adversary_auc_before_encoder,adversary_auc_after_encoder,metric_loss,script_loss,encoder_grad_norm,validation_auc,validation_eer,checkpoint_selected
1,0.7942477876106194,0.9942585558775159,0.9705585793719165,0.1989098884034575,0.6375031136629874,1.9288338611000462,0.7121678358843537,0.3580627705627706,True
2,0.7422566371681416,0.9775530581877986,0.8236794189051609,0.18348290732032374,0.6513491304297196,1.837011924961157,0.7387899241135848,0.3446969696969697,True
3,0.6924778761061947,0.8677754718458767,0.37923388675698955,0.168776501427617,0.6765644508495665,2.1597280920597544,0.7510232265254587,0.3228354978354978,True
4,0.5,0.6341775001957867,0.18296753856997416,0.15653512639957562,0.7005729309299535,2.014080101983589,0.7636155882807669,0.3125,True
5,0.4103982300884956,0.5924700446393609,0.2286103062103532,0.15767022588273935,0.7028557135347735,2.01487205948746,0.7728489454493919,0.3035714285714286,True
6,0.4557522123893805,0.7407980264703579,0.3100379826141436,0.14364935470777646,0.6928998075033489,2.2891769890199627,0.7714964536951143,0.29761904761904767,False
7,0.4756637168141593,0.7824956926932415,0.2716050591275746,0.1359043674249398,0.6934093655201427,2.2707557720050477,0.7751185322613895,0.2946428571428571,True
8,0.49557522123893805,0.8354559871563944,0.1295177774297126,0.13371623229039342,0.6906879376946834,2.354651177138613,0.7808705679241393,0.29258658008658006,True
9,0.5,0.7225164460803509,0.17826865846973142,0.13173576313675495,0.6957724146675646,2.318020693042822,0.7734589195526697,0.28695887445887447,False
10,0.46792035398230086,0.7727650951523222,0.27594173388675697,0.12333602366740243,0.6913508981989142,2.386000909303364,0.7767225829725829,0.29145021645021646,False
