epoch,metric_loss,script_loss,script_accuracy,attached_dev_auc,encoder_grad_norm,validation_auc,validation_eer,checkpoint_selected
1,0.1988281554035973,0.6188227764347143,0.8086283185840708,0.9718165087320856,1.9966981473721956,0.7103652919501133,0.35416666666666663,True
2,0.18969430421528063,0.6428431126109341,0.6913716814159292,0.6165664891534184,1.8731359787154616,0.730689226448155,0.34226190476190477,True
3,0.1724141483244143,0.7000210295643723,0.497787610619469,0.39740778447803277,2.3146087161281654,0.7363208777829313,0.34523809523809523,True
4,0.16041383500161924,0.6960817188547369,0.4922566371681416,0.5572920745555643,2.1281342109044394,0.745784374355803,0.32186147186147185,True
5,0.16010805859900357,0.6938170748844481,0.5033185840707964,0.3594594330018013,2.17917593738489,0.7542645040970933,0.3214285714285714,True
6,0.14808590030461027,0.7000694672266642,0.42146017699115046,0.4757762941498942,2.4247526557821977,0.7593902996804782,0.31547619047619047,True
7,0.13917071045490734,0.6866631800668281,0.5542035398230089,0.6306166301198214,2.505210096375984,0.7731897257008864,0.3033008658008658,True
8,0.1378055046263494,0.6843003682922899,0.5542035398230089,0.4996475839924818,2.3543588696864615,0.785573689703154,0.28625541125541126,True
9,0.1380472474715166,0.6916131502703616,0.5077433628318584,0.5705272535045813,2.382091469932021,0.7758053268655947,0.2941017316017316,False
10,0.1297056163873589,0.6959135835630852,0.48672566371681414,0.3958757537786827,2.347821963460822,0.779060535198928,0.29318181818181815,False
