epoch,metric_loss,script_loss,script_accuracy,encoder_grad_norm,validation_auc,validation_eer,checkpoint_selected
1,0.1995701566338539,0.6218341034755372,0.8451327433628318,1.947012462114033,0.7086534187538651,0.35454545454545455,True
2,0.18680648571043684,0.6632187157346491,0.6050884955752213,1.813719347903603,0.7323743654658834,0.34226190476190477,True
3,0.17036929988024527,0.6951210833432382,0.5,2.1935943908858717,0.7426245877138735,0.32440476190476186,True
4,0.1587991583765599,0.717072305972116,0.35951327433628316,2.0710967758245635,0.7540568310657596,0.3125,True
5,0.15943584591150284,0.7046412459590978,0.4435840707964602,2.07473091284434,0.7595006184291899,0.3035714285714286,True
6,0.14489139524991052,0.6895342375102796,0.5199115044247787,2.3681485736579226,0.7684908717274789,0.3031926406926407,True
7,0.13649242894168487,0.6915862518444396,0.5121681415929203,2.2950357073231746,0.7683940005926613,0.3068181818181818,False
8,0.13425974260296739,0.6968142902641966,0.4911504424778761,2.396979838086848,0.7676452825448362,0.2996212121212121,False
9,0.1347735296738775,0.7015764138154816,0.4690265486725664,2.3510257235744545,0.7552180768140591,0.3125,False
10,0.12644981841246286,0.6953918912954498,0.49668141592920356,2.4390828734950016,0.7705657499742322,0.30308441558441557,True
