condition,pairs,genuine,impostor,auc,eer,eer_threshold
arabic_variable_same,3136,56,3080,0.8686688311688311,0.2142857142857143,0.7457298343464479
english_variable_same,3136,56,3080,0.8284960575139146,0.26655844155844155,0.7202765042131597
cross_variable_variable,3136,56,3080,0.760001159554731,0.31525974025974024,0.6999694780869917
cross_variable_same,3136,56,3080,0.7159438775510204,0.3571428571428571,0.666870363588844
cross_same_variable,3136,56,3080,0.770280612244898,0.3035714285714286,0.6962381521860759
cross_same_same,3136,56,3080,0.7761479591836734,0.2678571428571429,0.7346438047213432
