condition,wgc_auc,dinov2s_auc,dinov2s_minus_wgc
cross_same_same,0.825617,0.8985229276895943,0.07290592768959425
cross_same_variable,0.777976,0.8590608465608466,0.08108484656084658
cross_variable_same,0.738382,0.7643077601410935,0.02592576014109349
cross_variable_variable,0.789087,0.8503306878306878,0.06124368783068779
