model,removed_rank,script_auc,text_regime_auc,cross_pooled_auc_change,mean_cross_reliance,random_reliance_mean,random_reliance_std,random_auc_change_mean,random_auc_change_std,reliance_ratio,targeted_abs_auc_effect,random_abs_auc_effect_approx
dinov2_s,1,0.716438137755102,0.9996811224489796,8.31618158627645e-05,0.0022263642106184205,0.002809091141492278,0.00028030794675299716,-0.00045036018668831446,0.00067700433376442,0.7925567731617655,8.31618158627645e-05,0.00045036018668831446
dinov2_s,2,0.5736607142857143,0.9996811224489797,0.00017628855519480346,0.002979338700699354,0.004488621882251501,0.00036294960359240083,-0.0007222214169759044,0.0008282800402256181,0.6637535481614041,0.00017628855519480346,0.0007222214169759044
dinov2_s,4,0.5150669642857143,0.9992028061224489,0.00042269393552873957,0.0053804256097290115,0.0067060239510511824,0.0004592325413580861,-0.001298719416743982,0.0011591347423163605,0.8023272283251567,0.00042269393552873957,0.001298719416743982
dinov2_s,8,0.5061383928571428,0.9995216836734694,-0.0036596634392392913,0.011764455460706567,0.009894796310776995,0.0004584273074172736,-0.003032815398886823,0.001895829430390323,1.1889537784515298,0.0036596634392392913,0.003032815398886823
dinov2_s,16,0.5311702806122449,0.9799904336734694,-0.011941420744434161,0.01676270025005095,0.014462980947007684,0.00040878350705273955,-0.00525017393320964,0.0026153738206482827,1.159007282901736,0.011941420744434161,0.00525017393320964
dinov2_s,32,0.4792729591836735,0.9624521683673469,-0.031208872043135494,0.027851384135926253,0.021634784365102636,0.0003648489011358708,-0.010253254000463835,0.004199545143298616,1.2873428117384484,0.031208872043135494,0.010253254000463835
dinov2_s,56,0.5073341836734694,0.9491390306122449,-0.07186068674628954,0.04175067020365447,0.03048262528285587,0.0005419397550370939,-0.01931658743042671,0.005604926058150439,1.369654674301823,0.07186068674628954,0.01931658743042671
dinov2_b,1,0.6850286989795918,0.9970503826530612,0.0004877377087199042,0.002522178528733858,0.002843555379772344,0.0003556751932263944,-0.00012207937152137194,0.001143394197754074,0.8869806252677183,0.0004877377087199042,0.00012207937152137194
dinov2_b,2,0.5947863520408163,0.9966517857142857,0.0005152771335806827,0.003013363502051552,0.004368225861937971,0.0004123082008914927,-0.00039417613636361093,0.0012965316621506655,0.6898369263155885,0.0005152771335806827,0.00039417613636361093
dinov2_b,4,0.5630580357142856,0.9956951530612245,0.0007312442022263665,0.0041227571894570415,0.0066825470911943356,0.00040851946482315087,-0.0005886008522727026,0.0017914701517437355,0.616943978575122,0.0007312442022263665,0.0005886008522727026
dinov2_b,8,0.5159438775510203,0.9944196428571428,-0.0014454574443413248,0.011043127196464705,0.009898316290207937,0.0005362038493663253,-0.0016741252608997725,0.0025654363039223794,1.115657135283633,0.0014454574443413248,0.0016741252608997725
dinov2_b,16,0.5157047193877551,0.9957748724489797,-0.007431658743042635,0.019055099313993566,0.014538637985666871,0.0004955916206439878,-0.0034049599953617283,0.004072407819254972,1.3106522999457937,0.007431658743042635,0.0034049599953617283
