model,cross_conditions,conditions_auc_decreased,mean_auc_change,min_auc_change,max_auc_change,mean_reliance
dinov2_b,4,4,-0.060912859461966534,-0.0930716604823747,-0.04259624304267151,0.04425539223102969
dinov2_g,4,3,-0.021544526901669775,-0.06746289424860852,0.015700371057513873,0.038288991152240895
dinov2_l,4,4,-0.047908453153988895,-0.07877435064935057,-0.019724025974026116,0.04268227257325765
dinov2_s,4,4,-0.07250405844155841,-0.09772727272727266,-0.054933905380333936,0.04175067020365447
