model,targeted_residual_script_auc,targeted_distance_from_chance,random_residual_auc_mean,random_residual_auc_std,random_distance_from_chance_mean,random_distance_from_chance_min,random_trials_closer_to_chance
dinov2_s,0.5073341836734694,0.0073341836734693855,0.953730867346939,0.015591792541884397,0.4537308673469388,0.42897002551020413,0
dinov2_b,0.5230389030612246,0.02303890306122458,0.9628866390306122,0.01814473647442308,0.4628866390306123,0.4008290816326531,0
dinov2_l,0.41039540816326525,0.08960459183673475,0.9751076211734697,0.012527253282140358,0.47510762117346933,0.44571109693877553,0
dinov2_g,0.561782525510204,0.06178252551020402,0.9702487244897959,0.01167677720034105,0.47024872448979593,0.44013073979591844,0
