model,trial,random_residual_script_auc,random_distance_from_chance
dinov2_s,0,0.9461096938775511,0.44610969387755106
dinov2_s,1,0.9715401785714286,0.4715401785714286
dinov2_s,2,0.9566326530612245,0.45663265306122447
dinov2_s,3,0.9289700255102041,0.42897002551020413
dinov2_s,4,0.9500956632653061,0.45009566326530615
dinov2_s,5,0.9422831632653061,0.44228316326530615
dinov2_s,6,0.9511320153061225,0.45113201530612246
dinov2_s,7,0.9339923469387755,0.43399234693877553
dinov2_s,8,0.9663584183673469,0.4663584183673469
dinov2_s,9,0.935028698979592,0.43502869897959195
dinov2_s,10,0.9618144132653061,0.46181441326530615
dinov2_s,11,0.9449139030612245,0.44491390306122447
dinov2_s,12,0.9507334183673469,0.4507334183673469
dinov2_s,13,0.9791135204081632,0.47911352040816324
dinov2_s,14,0.9462691326530612,0.44626913265306123
dinov2_s,15,0.9339923469387755,0.43399234693877553
dinov2_s,16,0.9728156887755103,0.4728156887755103
dinov2_s,17,0.9820631377551021,0.4820631377551021
dinov2_s,18,0.9542410714285714,0.4542410714285714
dinov2_s,19,0.9665178571428572,0.4665178571428572
dinov2_b,0,0.9690688775510204,0.46906887755102045
dinov2_b,1,0.9716996173469388,0.47169961734693877
dinov2_b,2,0.9603794642857142,0.4603794642857142
dinov2_b,3,0.9598214285714286,0.4598214285714286
dinov2_b,4,0.989875637755102,0.489875637755102
dinov2_b,5,0.946827168367347,0.44682716836734704
dinov2_b,6,0.9601403061224489,0.46014030612244894
dinov2_b,7,0.9008290816326531,0.4008290816326531
dinov2_b,8,0.9768813775510206,0.47688137755102056
dinov2_b,9,0.9419642857142858,0.4419642857142858
dinov2_b,10,0.9702646683673469,0.4702646683673469
dinov2_b,11,0.9689891581632653,0.46898915816326525
dinov2_b,12,0.9703443877551021,0.4703443877551021
dinov2_b,13,0.9595822704081634,0.45958227040816335
dinov2_b,14,0.9801498724489797,0.48014987244897966
dinov2_b,15,0.9705835459183673,0.47058354591836726
dinov2_b,16,0.9738520408163266,0.4738520408163266
dinov2_b,17,0.9638871173469388,0.46388711734693877
dinov2_b,18,0.9626116071428572,0.4626116071428572
dinov2_b,19,0.9599808673469388,0.45998086734693877
dinov2_l,0,0.9900350765306123,0.4900350765306123
dinov2_l,1,0.9713010204081632,0.47130102040816324
dinov2_l,2,0.9826211734693877,0.4826211734693877
dinov2_l,3,0.9840561224489796,0.48405612244897955
dinov2_l,4,0.9716198979591837,0.4716198979591837
dinov2_l,5,0.9575892857142857,0.4575892857142857
dinov2_l,6,0.9457110969387755,0.44571109693877553
dinov2_l,7,0.9787149234693878,0.4787149234693878
dinov2_l,8,0.9771205357142856,0.4771205357142856
dinov2_l,9,0.9927455357142858,0.4927455357142858
dinov2_l,10,0.986686862244898,0.486686862244898
dinov2_l,11,0.9724968112244898,0.47249681122448983
dinov2_l,12,0.9691485969387755,0.46914859693877553
dinov2_l,13,0.9832589285714286,0.4832589285714286
dinov2_l,14,0.9509725765306122,0.4509725765306122
dinov2_l,15,0.978077168367347,0.47807716836734704
dinov2_l,16,0.9792729591836735,0.4792729591836735
dinov2_l,17,0.9698660714285714,0.4698660714285714
dinov2_l,18,0.9714604591836734,0.4714604591836734
dinov2_l,19,0.9893973214285714,0.4893973214285714
dinov2_g,0,0.9401307397959184,0.44013073979591844
dinov2_g,1,0.96484375,0.46484375
dinov2_g,2,0.9772002551020409,0.4772002551020409
dinov2_g,3,0.9755261479591836,0.4755261479591836
dinov2_g,4,0.9567920918367346,0.45679209183673464
dinov2_g,5,0.9646045918367347,0.46460459183673475
dinov2_g,6,0.9633290816326531,0.4633290816326531
dinov2_g,7,0.9620535714285715,0.4620535714285715
dinov2_g,8,0.9834183673469388,0.48341836734693877
dinov2_g,9,0.9791135204081634,0.47911352040816335
dinov2_g,10,0.9674744897959183,0.4674744897959183
dinov2_g,11,0.9669961734693877,0.4669961734693877
dinov2_g,12,0.965561224489796,0.465561224489796
dinov2_g,13,0.9860491071428572,0.4860491071428572
dinov2_g,14,0.9665975765306123,0.4665975765306123
dinov2_g,15,0.9723373724489794,0.47233737244897944
dinov2_g,16,0.9838169642857142,0.4838169642857142
dinov2_g,17,0.9649234693877552,0.4649234693877552
dinov2_g,18,0.9920280612244898,0.49202806122448983
dinov2_g,19,0.9721779336734695,0.4721779336734695
