model,removed_rank,script_auc,script_distance_from_chance,text_regime_auc,overall_writer_auc,cross_macro_auc,cross_pooled_auc,cross_pooled_auc_change,mean_cross_reliance
dinov2_s,0,1.0,0.5,0.9996811224489796,0.8991257440476191,0.8680252782931354,0.8676761436108534,0.0,0.0
dinov2_s,1,0.716438137755102,0.216438137755102,0.9996811224489796,0.9000653860028861,0.8680818065862709,0.8677593054267162,8.31618158627645e-05,0.0022263642106184205
dinov2_s,2,0.5736607142857143,0.0736607142857143,0.9996811224489797,0.9001934201710988,0.8682484925788496,0.8678524321660482,0.00017628855519480346,0.002979338700699354
dinov2_s,4,0.5150669642857143,0.015066964285714302,0.9992028061224489,0.9005238932694289,0.868509392393321,0.8680988375463822,0.00042269393552873957,0.0053804256097290115
dinov2_s,8,0.5061383928571428,0.006138392857142794,0.9995216836734694,0.897528054782519,0.8644509508348794,0.8640164801716141,-0.0036596634392392913,0.011764455460706567
dinov2_s,16,0.5311702806122449,0.031170280612244916,0.9799904336734694,0.8915874304267162,0.8558050208719852,0.8557347228664193,-0.011941420744434161,0.01676270025005095
dinov2_s,32,0.4792729591836735,0.02072704081632648,0.9624521683673469,0.8755493390538034,0.8366187384044527,0.8364672715677179,-0.031208872043135494,0.027851384135926253
dinov2_s,56,0.5073341836734694,0.0073341836734693855,0.9491390306122449,0.8416977491754278,0.795521219851577,0.7958154568645639,-0.07186068674628954,0.04175067020365447
dinov2_b,0,1.0,0.5,0.9969706632653061,0.9149894995877138,0.8900481215213357,0.8894552991651206,0.0,0.0
dinov2_b,1,0.6850286989795918,0.18502869897959184,0.9970503826530612,0.9162944818078748,0.8906076066790352,0.8899430368738405,0.0004877377087199042,0.002522178528733858
dinov2_b,2,0.5947863520408163,0.09478635204081631,0.9966517857142857,0.9164540816326531,0.890625,0.8899705762987012,0.0005152771335806827,0.003013363502051552
dinov2_b,4,0.5630580357142856,0.06305803571428559,0.9956951530612245,0.9165893630179344,0.8908308209647495,0.8901865433673469,0.0007312442022263665,0.0041227571894570415
dinov2_b,8,0.5159438775510203,0.015943877551020336,0.9944196428571428,0.9149827355184496,0.8890364100185528,0.8880098417207792,-0.0014454574443413248,0.011043127196464705
dinov2_b,16,0.5157047193877551,0.015704719387755084,0.9957748724489797,0.9118078102453103,0.8827878594619667,0.8820236404220779,-0.007431658743042635,0.019055099313993566
dinov2_b,32,0.5300542091836735,0.03005420918367352,0.9732940051020408,0.8907412775716348,0.8537323167903524,0.8536939065398886,-0.035761392625231925,0.034617133630459006
dinov2_b,56,0.5230389030612246,0.02303890306122458,0.949936224489796,0.8734510281385282,0.8291352620593693,0.8297766407699444,-0.059678658395176165,0.0442553922310297
dinov2_l,0,1.0,0.5,0.9982461734693877,0.8947487470366936,0.8634247448979593,0.8632165685876624,0.0,0.0
dinov2_l,1,0.771125637755102,0.271125637755102,0.9983258928571429,0.8956842017109875,0.8632913961038962,0.8630928223562152,-0.0001237462314471749,0.0026591580490044654
dinov2_l,2,0.6993781887755103,0.19937818877551028,0.9981664540816326,0.8957937152133582,0.8633696660482374,0.86314717648423,-6.939210343237523e-05,0.0030102222090726163
dinov2_l,4,0.49736926020408156,0.0026307397959184353,0.9976881377551021,0.8959739293444652,0.8636175208719851,0.8634453994666049,0.00022883087894254306,0.004251026517398574
dinov2_l,8,0.584343112244898,0.08434311224489799,0.9989636479591837,0.8924619279529994,0.8607940051020408,0.8606153612012988,-0.002601207386363602,0.009285569188768944
dinov2_l,16,0.5441645408163266,0.04416454081632659,0.9971301020408163,0.8803854875283446,0.8462560876623376,0.8458187181122448,-0.01739785047541753,0.021386130279885906
dinov2_l,32,0.5747767857142857,0.0747767857142857,0.9709024234693877,0.8688711090496806,0.8315920686456401,0.8313996550324675,-0.03181691355519489,0.03165806571557674
dinov2_l,56,0.41039540816326525,0.08960459183673475,0.9423628826530612,0.8553366896000825,0.8155162917439702,0.8156492781771798,-0.04756729041048258,0.04268227257325765
dinov2_g,0,0.9999202806122449,0.4999202806122449,0.9947385204081634,0.9181004883013811,0.8988998724489796,0.8983316906307979,0.0,0.0
dinov2_g,1,0.7417091836734694,0.24170918367346939,0.99609375,0.9188915623067409,0.8987868158627087,0.8980707908163266,-0.00026089981447130484,0.002754302366003185
dinov2_g,2,0.7230548469387755,0.22305484693877553,0.9942602040816327,0.9190110608637394,0.8987868158627088,0.8980334676484231,-0.00029822298237480727,0.0032095403898156068
dinov2_g,4,0.5612244897959184,0.061224489795918435,0.9944196428571429,0.918816191249227,0.8984853316326531,0.8976163903061225,-0.000715300324675372,0.004329795456306159
dinov2_g,8,0.5180963010204082,0.018096301020408156,0.9925860969387754,0.9196167671614102,0.9008174860853433,0.8999594155844156,0.0016277249536177374,0.009291321772046335
dinov2_g,16,0.5113998724489797,0.011399872448979664,0.9874043367346939,0.9157549667594309,0.8956125347866419,0.8949519509508349,-0.0033797396799629675,0.016872484004524374
dinov2_g,32,0.4810267857142857,0.0189732142857143,0.9606186224489797,0.9133219954648527,0.8930557166048239,0.8928520698051947,-0.00547962082560316,0.024509926771022178
dinov2_g,56,0.561782525510204,0.06178252551020402,0.9582270408163266,0.9020377563904348,0.8773553455473099,0.8776205936920222,-0.020711096938775708,0.03828899115224089
