model,removed_rank,trial,random_cross_reliance,random_cross_auc_change
dinov2_l,8,19,0.009917422686839338,-0.0010187775394249199
dinov2_l,16,19,0.014211908507610655,0.0022446443065863297
dinov2_l,32,19,0.021173086795313965,-0.003028793193413759
dinov2_l,56,19,0.030802011605887955,-0.009149068007885175
dinov2_g,1,0,0.0025769268798141467,0.0008363288497216237
dinov2_g,2,0,0.003852439050459628,0.0011457850185526697
dinov2_g,4,0,0.005947891394396001,0.0006359432977736112
dinov2_g,8,0,0.009426859314896787,0.0007493622448979664
dinov2_g,16,0,0.014257680732958591,-0.0011533945964752323
dinov2_g,32,0,0.02218715947394115,-0.0024216575834881127
dinov2_g,56,0,0.03056235811805388,-0.010227635088126297
dinov2_g,1,1,0.0030662243169930644,0.00020944457328364585
dinov2_g,2,1,0.004185776085274076,-0.0002583632884972653
dinov2_g,4,1,0.006509028602115757,0.0006011566558440373
dinov2_g,8,1,0.009325162486609653,0.0010841836734692967
dinov2_g,16,1,0.014289893564150334,-0.000276118970315542
dinov2_g,32,1,0.0215182343703659,-0.006880870245825621
dinov2_g,56,1,0.03198529076580118,-0.014042570153061318
dinov2_g,1,2,0.0029114297297533976,-7.790758348802385e-05
dinov2_g,2,2,0.004919644114302974,-0.0023296179267162653
dinov2_g,4,2,0.00666556670679281,-0.003405829661410009
dinov2_g,8,2,0.010510902825330591,-0.006666352620593674
dinov2_g,16,2,0.01564424460733624,-0.005923150510204311
dinov2_g,32,2,0.022395091826342514,-0.005835096822820018
dinov2_g,56,2,0.031673431468358104,-0.022136986897031474
dinov2_g,1,3,0.002508362609565868,-0.001001565398886961
dinov2_g,2,3,0.00409950788212992,-4.348330241210618e-06
dinov2_g,4,3,0.006033361866863408,-0.0005453530844157228
dinov2_g,8,3,0.008963396080687934,-0.0019426165352505187
dinov2_g,16,3,0.013738431010488824,-0.002127782931354516
dinov2_g,32,3,0.021152970479431665,-0.0006268842764379778
dinov2_g,56,3,0.030689299870640594,-0.006730852852504632
dinov2_g,1,4,0.0022543186622040455,-0.0006319573283859459
dinov2_g,2,4,0.0038248276663931024,-0.0014559659090909172
dinov2_g,4,4,0.006539167099585794,-0.0012233302411874813
dinov2_g,8,4,0.009849116754984741,-0.0015215532235621776
dinov2_g,16,4,0.014353439485789068,-0.002430716604823746
