model,condition,family,mean_reliance,median_reliance,original_auc,intervened_auc,auc_change
dinov2_s,arabic_variable_same,within_script,0.03973774870735128,0.0331748443235757,0.9476229128014843,0.9106331168831169,-0.036989795918367374
dinov2_s,cross_same_same,cross_script,0.04304514853744332,0.03607004236937704,0.9355403525046382,0.8758522727272727,-0.059688079777365455
dinov2_s,cross_same_variable,cross_script,0.04237827548121725,0.03547271023832516,0.8940630797773654,0.7963358070500928,-0.09772727272727266
dinov2_s,cross_variable_same,cross_script,0.04093590215417803,0.033973897943139195,0.8175440630797773,0.7398770871985157,-0.07766697588126159
dinov2_s,cross_variable_variable,cross_script,0.04064335464177928,0.034229918161618855,0.8249536178107607,0.7700197124304268,-0.054933905380333936
dinov2_s,english_variable_same,within_script,0.04335893256933688,0.03604391952055988,0.9775626159554731,0.9499536178107606,-0.027608998144712515
dinov2_b,arabic_variable_same,within_script,0.04555045355383901,0.03784129995151406,0.9554846938775511,0.9469039888682745,-0.008580705009276546
dinov2_b,cross_same_same,cross_script,0.04293269049663998,0.0351367526788387,0.9185122912801483,0.8712256493506493,-0.04728664192949905
dinov2_b,cross_same_variable,cross_script,0.04544906172193723,0.03734181427704462,0.9130623840445269,0.8704661410018554,-0.04259624304267151
dinov2_b,cross_variable_same,cross_script,0.042642605790107826,0.035103827198890505,0.8660192486085343,0.7729475881261596,-0.0930716604823747
dinov2_b,cross_variable_variable,cross_script,0.04599721091543373,0.03748311404406692,0.8625985621521336,0.8019016697588127,-0.06069689239332088
dinov2_b,english_variable_same,within_script,0.04457288317601572,0.0368782244368061,0.983743042671614,0.9709821428571428,-0.01276089981447126
dinov2_l,arabic_variable_same,within_script,0.03978904549116847,0.03283105703429773,0.9550962430426715,0.9301716141001855,-0.024924628942486038
dinov2_l,cross_same_same,cross_script,0.04331891824013602,0.03593923881167416,0.9097054730983303,0.851182745825603,-0.058522727272727226
dinov2_l,cross_same_variable,cross_script,0.04209248676934638,0.03599220781004488,0.8633290816326531,0.8287163729128014,-0.03461270871985167
dinov2_l,cross_variable_same,cross_script,0.04266249434700733,0.03495614312598605,0.8252377087198515,0.7464633580705009,-0.07877435064935057
dinov2_l,cross_variable_variable,cross_script,0.042655190936540875,0.03609958129948221,0.8554267161410019,0.8357026901669757,-0.019724025974026116
dinov2_l,english_variable_same,within_script,0.04457619781501434,0.03780199329215292,0.9655786178107607,0.934647495361781,-0.030931122448979664
dinov2_g,arabic_variable_same,within_script,0.03847688008775197,0.031043763346061737,0.9496115491651206,0.9309891001855287,-0.018622448979591866
dinov2_g,cross_same_same,cross_script,0.0390943132940804,0.03124802425224571,0.9553745361781076,0.9377261131725417,-0.017648423005565905
dinov2_g,cross_same_variable,cross_script,0.03828675759631086,0.031060034465134452,0.8998086734693878,0.8830415120593692,-0.01676716141001855
dinov2_g,cross_variable_same,cross_script,0.038627671666364084,0.032563995175140664,0.8790410482374769,0.8115781539888683,-0.06746289424860852
dinov2_g,cross_variable_variable,cross_script,0.037147222052208224,0.03129646562793599,0.8613752319109462,0.8770756029684601,0.015700371057513873
dinov2_g,english_variable_same,within_script,0.04104865451798891,0.03329099484221057,0.9737128942486084,0.9703385899814472,-0.0033743042671612322
