model,original_script_auc,intervened_script_auc,script_auc_change,original_text_regime_auc,intervened_text_regime_auc,text_regime_auc_change
dinov2_s,1.0,0.5073341836734694,-0.4926658163265306,0.9996811224489796,0.9491390306122449,-0.05054209183673464
dinov2_b,1.0,0.5230389030612246,-0.4769610969387754,0.9969706632653061,0.949936224489796,-0.04703443877551017
dinov2_l,1.0,0.41039540816326525,-0.5896045918367347,0.9982461734693877,0.9423628826530612,-0.05588329081632648
dinov2_g,0.9999202806122449,0.561782525510204,-0.4381377551020409,0.9947385204081634,0.9582270408163266,-0.03651147959183676
