model,removed_rank,monitor_script_auc,effective_monitor_auc
dinov2_s,0,1.0,1.0
dinov2_s,1,0.20098765432098764,0.7990123456790124
dinov2_s,2,0.3697530864197531,0.6302469135802469
dinov2_s,3,0.5120987654320988,0.5120987654320988
dinov2_s,4,0.4811111111111111,0.518888888888889
dinov2_s,5,0.4461728395061728,0.5538271604938272
dinov2_s,6,0.4723456790123457,0.5276543209876543
dinov2_s,7,0.46901234567901234,0.5309876543209877
dinov2_s,8,0.4504938271604938,0.5495061728395062
dinov2_s,9,0.48271604938271606,0.5172839506172839
dinov2_s,10,0.45160493827160497,0.548395061728395
dinov2_s,11,0.5076543209876543,0.5076543209876543
dinov2_s,12,0.4814814814814815,0.5185185185185185
dinov2_s,13,0.5150617283950617,0.5150617283950617
dinov2_s,14,0.48419753086419753,0.5158024691358025
dinov2_s,15,0.49160493827160495,0.508395061728395
dinov2_s,16,0.5330864197530865,0.5330864197530865
dinov2_s,17,0.49037037037037035,0.5096296296296297
dinov2_s,18,0.5081481481481481,0.5081481481481481
dinov2_s,19,0.5404938271604939,0.5404938271604939
dinov2_s,20,0.5180246913580246,0.5180246913580246
dinov2_s,21,0.5004938271604937,0.5004938271604937
dinov2_s,22,0.49740740740740735,0.5025925925925927
dinov2_s,23,0.5319753086419754,0.5319753086419754
dinov2_s,24,0.4918518518518519,0.5081481481481481
dinov2_s,25,0.4832098765432099,0.5167901234567901
dinov2_s,26,0.5060493827160494,0.5060493827160494
dinov2_s,27,0.4818518518518518,0.5181481481481482
dinov2_s,28,0.4946913580246914,0.5053086419753086
dinov2_s,29,0.5290123456790123,0.5290123456790123
dinov2_s,30,0.46086419753086416,0.5391358024691358
dinov2_s,31,0.5524691358024691,0.5524691358024691
dinov2_s,32,0.5623456790123457,0.5623456790123457
dinov2_s,33,0.4722222222222222,0.5277777777777778
dinov2_s,34,0.5034567901234568,0.5034567901234568
dinov2_s,35,0.4658024691358025,0.5341975308641975
dinov2_s,36,0.5009876543209877,0.5009876543209877
dinov2_s,37,0.5408641975308641,0.5408641975308641
dinov2_s,38,0.5375308641975308,0.5375308641975308
dinov2_s,39,0.4565432098765432,0.5434567901234568
dinov2_s,40,0.56,0.56
