model,stage,family,mean_reliance,median_reliance,p95_reliance,original_auc,intervened_auc,auc_change
dinov2_s,frozen,within_script,0.01609291795270112,0.013364236319381328,0.03953554696422152,0.7674839111781075,0.770467590445269,0.0029836792671614765
dinov2_s,frozen,cross_script,0.01201900770552916,0.008934754721576843,0.033953968215404494,0.6694663874072355,0.675606229707792,0.006139842300556531
dinov2_s,direct_lda,within_script,0.04020993636195176,0.03288369926541018,0.10402296850774286,0.9309369202226345,0.9103272843228201,-0.02060963589981446
dinov2_s,direct_lda,cross_script,0.040146580179869676,0.033128503253791707,0.10070288221801522,0.8042149814471243,0.7419240636595548,-0.062290917787569566
dinov2_s,pca225_lda,within_script,0.041548340638344075,0.03457098446209993,0.1062623530774396,0.9624507189239332,0.9303948283858997,-0.03205589053803348
dinov2_s,pca225_lda,cross_script,0.04175067020365447,0.03497658062642563,0.10348086200409441,0.8676761436108534,0.7958154568645639,-0.07186068674628954
dinov2_b,frozen,within_script,0.011821652941551247,0.009978685420809097,0.028869639500089892,0.7624028872912801,0.7474852156771798,-0.014917671614100292
dinov2_b,frozen,cross_script,0.06619515905789067,0.06277413156890799,0.13118102886803884,0.6125371419874769,0.6556140567022264,0.043076914714749504
dinov2_b,direct_lda,within_script,0.04012477452390525,0.03263731665673472,0.10429716155900955,0.8173570848794063,0.8020567602040816,-0.015300324675324717
dinov2_b,direct_lda,cross_script,0.04001221097642435,0.03299963352766734,0.10229043850317852,0.6964111781076066,0.6889385725881262,-0.007472605519480369
dinov2_b,pca225_lda,within_script,0.045061668364927365,0.037451909260533545,0.11201462734355921,0.9691268552875697,0.9582951646567718,-0.010831690630797919
dinov2_b,pca225_lda,cross_script,0.0442553922310297,0.036389239353240344,0.11183810904644101,0.8894552991651206,0.8297766407699444,-0.059678658395176165
dinov2_l,frozen,within_script,0.046593335445164946,0.03123348914482016,0.12419263552102267,0.7400553687384045,0.7202081400742115,-0.019847228664192973
dinov2_l,frozen,cross_script,0.1343089771915933,0.13586434058783797,0.21632906862312673,0.5813712097054732,0.6477859751855287,0.06641476548005554
dinov2_l,direct_lda,within_script,0.03536821436238343,0.029235470018559973,0.0905526617282518,0.8990230751391466,0.8747782351576994,-0.02424483998144722
dinov2_l,direct_lda,cross_script,0.035337782697969285,0.02902409020573253,0.08975722283710988,0.7919186282467532,0.7753362708719852,-0.016582357374767986
dinov2_l,pca225_lda,within_script,0.042182621653091404,0.03507607452358563,0.10691155773144788,0.9600084067717997,0.9324370941558442,-0.027571312615955468
dinov2_l,pca225_lda,cross_script,0.04268227257325764,0.03573786729926279,0.1057794188949933,0.8632165685876624,0.8156492781771798,-0.04756729041048258
dinov2_g,frozen,within_script,0.02535561941290937,0.014388526453667505,0.07730977625523143,0.7234476461038961,0.7012175324675324,-0.022230113636363735
dinov2_g,frozen,cross_script,0.12517434401233377,0.12835705802261305,0.19105212636841792,0.5846284714169759,0.6301679904916513,0.04553951907467535
dinov2_g,direct_lda,within_script,0.03731454534343541,0.031091456124898536,0.09495326006712883,0.9419729823747681,0.9067602040816327,-0.035212778293135405
dinov2_g,direct_lda,cross_script,0.0377843942608913,0.03112539978760008,0.09597488286799155,0.8271817746985157,0.7816826588589981,-0.0454991158395176
dinov2_g,pca225_lda,within_script,0.03976276730287044,0.032404019725495184,0.10159238257777108,0.9613085575139146,0.9505855751391465,-0.010722982374768097
dinov2_g,pca225_lda,cross_script,0.03828899115224089,0.03144363518985207,0.09724800066154317,0.8983316906307979,0.8776205936920222,-0.020711096938775708
