model,stage,script_probe_auc,residual_script_auc,script_cross_reliance,random_cross_reliance_mean,random_cross_reliance_std,script_to_random_ratio,script_cross_auc_change,random_cross_auc_change_mean,random_cross_auc_change_std
dinov2_s,frozen,1.0,0.5833067602040817,0.01201900770552916,0.004080477552386016,0.0012523454923751847,2.945490460669529,0.006139842300556531,-0.000650111607142756,0.0023675113787133095
dinov2_s,direct_lda,0.6384725765306122,0.5625,0.040146580179869676,0.03035999388302666,0.0006234723317207774,1.3223513922482835,-0.062290917787569566,-0.015514425585575187,0.0073490024593752925
dinov2_s,pca225_lda,1.0,0.5073341836734694,0.04175067020365447,0.03048262528285588,0.0005419397550370935,1.3696546743018225,-0.07186068674628954,-0.01931658743042671,0.005604926058150439
dinov2_b,frozen,1.0,0.8975605867346939,0.06619515905789067,0.0034452942409359455,0.001666432158319939,19.21320921487047,0.043076914714749504,0.00017125173933203454,0.0012155260625554198
dinov2_b,direct_lda,0.5491071428571429,0.5162627551020409,0.04001221097642435,0.03025470779680032,0.000540601970006153,1.3225118961702869,-0.007472605519480369,-0.006568605780380182,0.00574290523046856
dinov2_b,pca225_lda,1.0,0.5230389030612246,0.0442553922310297,0.03016688397230898,0.0007563997873050532,1.4670190090449167,-0.059678658395176165,-0.016884602562615918,0.008690994251275959
dinov2_l,frozen,1.0,0.9712213010204083,0.1343089771915933,0.00288983378352737,0.0012154041945791816,46.47636758805344,0.06641476548005554,-0.00010205893436928126,0.0007693562551139185
dinov2_l,direct_lda,0.5177774234693877,0.5177774234693877,0.035337782697969285,0.03023325643393157,0.0005614707481349267,1.1688381228529776,-0.016582357374767986,-0.014148542584647433,0.006209132735057104
dinov2_l,pca225_lda,1.0,0.41039540816326525,0.04268227257325764,0.03061390620020609,0.0005699575432887458,1.394211907952155,-0.04756729041048258,-0.014290280032467583,0.007987189258957285
dinov2_g,frozen,1.0,0.9723373724489797,0.12517434401233377,0.0024075958844659686,0.0015921082146767333,51.99142631035807,0.04553951907467535,-0.00014389349489801195,0.0004992877948486194
dinov2_g,direct_lda,0.5604272959183674,0.5557238520408163,0.0377843942608913,0.03055816090420223,0.00038350044618533195,1.236474746610008,-0.0454991158395176,-0.014120840097402531,0.005926026724216269
dinov2_g,pca225_lda,0.9999202806122449,0.561782525510204,0.03828899115224089,0.03077884923255448,0.0008160991344823555,1.2440033369325258,-0.020711096938775708,-0.013743876101577058,0.00572151404471929
