model,stage,targeted_reliance,random_reliance_mean,reliance_ratio,random_reliance_exceed_count,reliance_z_vs_random,targeted_abs_auc_effect,random_abs_auc_effect_mean,random_auc_effect_exceed_count,auc_effect_z_vs_random
dinov2_s,frozen,0.01201900770552916,0.004080477552386016,2.945490460669529,0,6.33892979331687,0.006139842300556531,0.0020488245013914443,0,3.2029697520139235
dinov2_s,direct_lda,0.040146580179869676,0.03035999388302666,1.3223513922482835,0,15.696905538425636,0.062290917787569566,0.015514425585575187,0,6.365012457210506
dinov2_s,pca225_lda,0.04175067020365447,0.03048262528285588,1.3696546743018225,0,20.792061877850873,0.07186068674628954,0.01931658743042671,0,9.374628455527168
dinov2_b,frozen,0.06619515905789067,0.0034452942409359455,19.21320921487047,0,37.65521716780705,0.043076914714749504,0.0008235918657235608,0,47.40774517516607
dinov2_b,direct_lda,0.04001221097642435,0.03025470779680032,1.3225118961702869,0,18.049329675052746,0.007472605519480369,0.0076513037743505315,11,-0.043630665908898476
dinov2_b,pca225_lda,0.0442553922310297,0.03016688397230898,1.4670190090449167,0,18.625743284402695,0.059678658395176165,0.016884602562615918,0,4.923953991371872
dinov2_l,frozen,0.1343089771915933,0.00288983378352737,46.47636758805344,0,108.12793307297098,0.06641476548005554,0.0006596598156308253,0,172.78893220771965
dinov2_l,direct_lda,0.035337782697969285,0.03023325643393157,1.1688381228529776,0,9.091348535954445,0.016582357374767986,0.014148542584647433,8,0.39197338726213754
dinov2_l,pca225_lda,0.04268227257325764,0.03061390620020609,1.394211907952155,0,21.174149750550114,0.04756729041048258,0.014290280032467583,0,4.166297967798406
dinov2_g,frozen,0.12517434401233377,0.0024075958844659686,51.99142631035807,0,77.10955008971845,0.04553951907467535,0.00043671730055658275,0,170.08014198438266
dinov2_g,direct_lda,0.0377843942608913,0.03055816090420223,1.236474746610008,0,18.84282907247751,0.0454991158395176,0.014120840097402531,0,5.294993965162201
dinov2_g,pca225_lda,0.03828899115224089,0.03077884923255448,1.2440033369325258,0,9.20248729886232,0.020711096938775708,0.013743876101577058,2,1.2177232779196083
