condition,wgc_auc,projection_auc,pca_lda_auc,projection_minus_wgc,projection_minus_pca_lda
cross_same_same,0.825617,0.8690476190476191,0.8985229276895943,0.043430619047619023,-0.02947530864197523
cross_same_variable,0.777976,0.8418430335097001,0.8590608465608466,0.06386703350970013,-0.017217813051146447
cross_variable_same,0.738382,0.7782186948853616,0.7643077601410935,0.03983669488536157,0.013910934744268078
cross_variable_variable,0.789087,0.8608245149911816,0.8503306878306878,0.07173751499118164,0.010493827160493852
