training_seed,epoch,train_base_loss,train_arabic_metric_loss,train_cross_metric_loss,train_gradient_norm_mean,train_gradient_norm_max,train_gradient_clipping_events,selection_cross_macro_auc,selection_cross_macro_eer,selection_pooled_auc,selection_pooled_eer,checkpoint_selected,cross_same_same_auc,cross_same_same_eer,cross_same_variable_auc,cross_same_variable_eer,cross_variable_same_auc,cross_variable_same_eer,cross_variable_variable_auc,cross_variable_variable_eer
2026,1,0.41123441027270424,0.19204720854759216,0.21918720089726978,0.3149382935629951,0.7615007162094116,0,0.7402336860670194,0.3194444444444445,0.7376350308641976,0.3125,True,0.7988756613756614,0.25,0.7585537918871252,0.3055555555555556,0.6663359788359788,0.36111111111111116,0.7371693121693123,0.36111111111111116
2026,2,0.3568711926539739,0.158357551942269,0.19851363781425688,0.25867779966857696,0.45171886682510376,0,0.7562610229276896,0.30972222222222223,0.7553915895061728,0.30734126984126986,True,0.8094797178130512,0.25,0.7867063492063492,0.27380952380952384,0.6731261022927689,0.38888888888888884,0.755731922398589,0.3261904761904762
2026,3,0.3236480239364836,0.13999182772305277,0.1836561949716674,0.3168469112780359,0.4705016314983368,0,0.7862103174603174,0.2700396825396825,0.787064594356261,0.2847222222222222,True,0.8293871252204585,0.25,0.8220238095238095,0.24206349206349206,0.7068342151675485,0.31746031746031744,0.7865961199294533,0.2706349206349206
2026,4,0.3085816303888957,0.13158802605337566,0.17699360267983544,0.22605048451158735,0.3372482657432556,0,0.7822778880070547,0.28174603174603174,0.7829013723544974,0.2777777777777778,False,0.8236552028218694,0.25,0.8128747795414462,0.25,0.7089726631393298,0.33333333333333337,0.7836089065255732,0.29365079365079366
2026,5,0.2956106944216622,0.12287925804654758,0.1727314359611935,0.3049799684021208,0.5163173675537109,0,0.7946042768959435,0.2634920634920635,0.7950086805555555,0.25555555555555554,True,0.8393518518518519,0.2365079365079365,0.8279982363315697,0.23412698412698413,0.7170194003527337,0.3055555555555556,0.794047619047619,0.2777777777777778
2026,6,0.28158047712511486,0.11689962736434406,0.16468085100253424,0.31303412715593976,0.5357565879821777,0,0.8093694885361552,0.2640873015873016,0.8103119488536156,0.2569444444444444,True,0.8452380952380952,0.2634920634920635,0.8382716049382716,0.21984126984126984,0.7363536155202822,0.3055555555555556,0.8176146384479718,0.26746031746031745
2026,7,0.27111725840303635,0.11271308196915521,0.15840417560603884,0.32913945946428513,0.5558136105537415,0,0.8184413580246913,0.25515873015873014,0.8193397266313932,0.25476190476190474,True,0.859700176366843,0.2222222222222222,0.8417328042328042,0.24444444444444444,0.7494488536155203,0.30396825396825394,0.8228835978835979,0.25
2026,8,0.26479263189766145,0.10885928198695183,0.15593335032463074,0.3221228743592898,0.6505967974662781,0,0.8136849647266313,0.24523809523809523,0.8148616622574956,0.24305555555555558,False,0.8516313932980599,0.20634920634920634,0.8357804232804233,0.2222222222222222,0.7449955908289242,0.30238095238095236,0.8223324514991182,0.25
2026,9,0.2547062991393937,0.10295122075412008,0.1517550771435102,0.2626461212833722,0.3800137937068939,0,0.8284336419753087,0.2498015873015873,0.8287298831569666,0.2494047619047619,True,0.8628086419753086,0.2222222222222222,0.8467813051146384,0.21825396825396826,0.7643077601410935,0.3246031746031746,0.839836860670194,0.23412698412698413
2026,10,0.2523553843299548,0.10206296708848742,0.15029241889715195,0.31995772073666257,0.5082530975341797,0,0.835598544973545,0.23789682539682538,0.835632991622575,0.2400793650793651,True,0.8708553791887125,0.2222222222222222,0.8467813051146384,0.2222222222222222,0.7741181657848325,0.2849206349206349,0.8506393298059965,0.2222222222222222
