condition,mean_auc,std_auc,min_auc,max_auc,wgc_auc,mean_gain_vs_wgc,all_seeds_above_wgc
cross_same_same,0.8698118753674309,0.0009356727832096665,0.8690476190476191,0.8708553791887125,0.825617,0.04419487536743083,True
cross_same_variable,0.8454365079365079,0.0031446849822476847,0.8418430335097001,0.8476851851851852,0.777976,0.06746050793650793,True
cross_variable_same,0.7769179894179895,0.0024267470371489236,0.7741181657848325,0.7784171075837744,0.738382,0.038535989417989525,True
cross_variable_variable,0.8576866549088771,0.00611534437905664,0.8506393298059965,0.8615961199294533,0.789087,0.0685996549088771,True
