condition,selection_multiseed_mean_auc,monitor_auc,monitor_minus_selection_mean
cross_same_same,0.8698118753674309,0.869584736251403,-0.00022713911602789683
cross_same_variable,0.8454365079365079,0.8654769921436588,0.020040484207150877
cross_variable_same,0.7769179894179895,0.8344893378226711,0.05757134840468159
cross_variable_variable,0.8576866549088771,0.8456902356902357,-0.011996419218641363
