condition,auc,eer,eer_threshold,pairs,genuine_pairs,impostor_pairs
cross_variable_variable,0.8456902356902357,0.2222222222222222,0.6911467909812927,2025,45,1980
cross_variable_same,0.8344893378226711,0.24444444444444446,0.680169008175532,2025,45,1980
cross_same_variable,0.8654769921436588,0.2222222222222222,0.673325242382465,2025,45,1980
cross_same_same,0.869584736251403,0.2222222222222222,0.6887811779975891,2025,45,1980
