training_seed,epoch,train_base_loss,train_arabic_metric_loss,train_cross_metric_loss,train_gradient_norm_mean,train_gradient_norm_max,train_gradient_clipping_events,selection_cross_macro_auc,selection_cross_macro_eer,selection_pooled_auc,selection_pooled_eer,checkpoint_selected,cross_same_same_auc,cross_same_same_eer,cross_same_variable_auc,cross_same_variable_eer,cross_variable_same_auc,cross_variable_same_eer,cross_variable_variable_auc,cross_variable_variable_eer
42,1,0.4074503514501784,0.1889431435200903,0.21850720627440345,0.2536649952332179,0.36923524737358093,0,0.7317184744268078,0.3222222222222222,0.729632385361552,0.32876984126984127,True,0.7834435626102293,0.2912698412698413,0.7627865961199295,0.30317460317460315,0.6543430335097002,0.37857142857142856,0.7263007054673721,0.31587301587301586
42,2,0.3540504508548313,0.15601002300779024,0.19804042908880445,0.2778842755489879,0.5190740823745728,0,0.7473820546737214,0.3148809523809524,0.7457024360670195,0.3194444444444444,True,0.7905864197530865,0.2777777777777778,0.7815035273368607,0.30158730158730157,0.6645723104056438,0.353968253968254,0.7528659611992946,0.3261904761904762
42,3,0.3188556581735611,0.13599428286155066,0.18286137365632588,0.31884170489178765,0.45796939730644226,0,0.7775297619047619,0.276984126984127,0.777710262345679,0.2777777777777778,True,0.8157627865961199,0.2777777777777778,0.8135141093474426,0.25,0.698478835978836,0.32222222222222224,0.782363315696649,0.25793650793650796
42,4,0.30531492415401673,0.12856771548589072,0.17674721032381058,0.26630029330650967,0.40798693895339966,0,0.7768794091710759,0.28115079365079365,0.77734375,0.2847222222222222,False,0.8126543209876543,0.2777777777777778,0.8064594356261022,0.25396825396825395,0.7048059964726632,0.33333333333333337,0.7835978835978836,0.25952380952380955
42,5,0.29145943373441696,0.12038962956931856,0.171069805820783,0.31691159970230526,0.5642225742340088,0,0.7846781305114638,0.2571428571428572,0.7852430555555555,0.2569444444444444,True,0.8249999999999998,0.2253968253968254,0.8119708994708995,0.2396825396825397,0.711331569664903,0.3055555555555556,0.7904100529100528,0.25793650793650796
42,6,0.2777678569157918,0.11421856987807485,0.16354928662379584,0.29037995967600083,0.5023345947265625,0,0.8051201499118166,0.2628968253968254,0.8053612764550264,0.26388888888888884,True,0.8367063492063492,0.25,0.8245811287477954,0.22936507936507936,0.7376763668430334,0.32222222222222224,0.8215167548500881,0.25
42,7,0.266890330447091,0.10973934539490277,0.1571509829825825,0.32286961790588165,0.5088490843772888,0,0.8172949735449735,0.26031746031746034,0.8178419863315697,0.24841269841269842,True,0.8542768959435626,0.25,0.8326278659611993,0.24365079365079365,0.7499779541446208,0.3055555555555556,0.8322971781305114,0.24206349206349206
42,8,0.2609813056058354,0.1065641918943988,0.15441711246967316,0.3362228514419662,0.6771939396858215,0,0.8158564814814815,0.2503968253968254,0.8163718033509699,0.24404761904761904,False,0.8517195767195768,0.20793650793650795,0.8303130511463844,0.25,0.7470238095238095,0.3055555555555556,0.8343694885361552,0.23809523809523808
42,9,0.25318826155530083,0.10137524166040951,0.15181301865312788,0.2944605126976967,0.42550432682037354,0,0.8278053350970017,0.2509920634920635,0.8277047508818343,0.24801587301587302,True,0.8563051146384479,0.2261904761904762,0.8389329805996472,0.2222222222222222,0.7671516754850087,0.3055555555555556,0.8488315696649029,0.25
42,10,0.24707534826464123,0.09892179816961288,0.14815355092287064,0.284171967042817,0.39322400093078613,0,0.8374834656084656,0.23253968253968252,0.8372946979717814,0.24285714285714285,True,0.8690476190476191,0.19444444444444442,0.8418430335097001,0.2357142857142857,0.7782186948853616,0.2777777777777778,0.8608245149911816,0.2222222222222222
