parameter,shape,requires_grad,gradient_present,gradient_finite,gradient_norm,parameter_change_after_backward
projection.weight,"(144, 384)",True,True,True,0.14446744496795638,0.0
projection.bias,"(144,)",True,True,True,0.12288766552228605,0.0
