epoch,batches,writers_seen,train_base_loss,train_arabic_metric_loss,train_cross_metric_loss,gradient_norm_mean,gradient_norm_max,gradient_clipping_events
1,22,181,0.4042265767400915,0.18819711221890015,0.21602946655316788,0.2813060219314965,0.6965189576148987,0
2,22,181,0.34891316159205005,0.15617688034068455,0.19273628091270273,0.3416795249689709,0.6500678658485413,0
3,22,181,0.33000172539190814,0.1451660618185997,0.18483566492795944,0.3231513994661244,0.5386043190956116,0
4,22,181,0.3077840791507201,0.13395821743390776,0.17382586679675363,0.3846337402408773,0.7252650260925293,0
5,22,181,0.29216441173445096,0.12396413189443675,0.16820028017867694,0.2954644350842996,0.6659273505210876,0
6,22,181,0.2846528027545322,0.1212671585381031,0.1633856479417194,0.2898972677913579,0.625491738319397,0
7,22,181,0.27499805052172055,0.1169624047523195,0.15803564475341278,0.2775891504504464,0.5656099915504456,0
8,22,181,0.27146188576113095,0.11557285250587897,0.1558890315619382,0.30431560562415555,0.8172789216041565,0
9,22,181,0.2642297385768457,0.11111462691968138,0.15311511131850156,0.31191707808863034,0.6516771912574768,0
10,22,181,0.2586978565562855,0.10824978453191844,0.15044807304035535,0.35150166194547305,0.5562524199485779,0
