epoch,batch,batch_size,base_loss,arabic_metric_loss,cross_metric_loss,gradient_norm_before_clip,gradient_clipping_activated
1,1,9,0.46350061893463135,0.2280254364013672,0.23547518253326416,0.1380101442337036,False
1,2,9,0.45903199911117554,0.23253002762794495,0.2265019714832306,0.17460471391677856,False
1,3,9,0.4444580376148224,0.21583184599876404,0.22862619161605835,0.25256699323654175,False
1,4,9,0.42264148592948914,0.1966274082660675,0.22601407766342163,0.3990521728992462,False
1,5,9,0.4364551901817322,0.20328401029109955,0.23317119479179382,0.1992262601852417,False
1,6,8,0.46906745433807373,0.2229282259941101,0.24613924324512482,0.23562419414520264,False
1,7,8,0.4513494372367859,0.21977026760578156,0.23157918453216553,0.11888057738542557,False
1,8,8,0.4038442373275757,0.1871420294046402,0.21670220792293549,0.43796584010124207,False
1,9,8,0.41037023067474365,0.1927744746208191,0.21759575605392456,0.35503047704696655,False
1,10,8,0.35613423585891724,0.1607673168182373,0.19536691904067993,0.26784566044807434,False
1,11,8,0.32885313034057617,0.14812012016773224,0.18073301017284393,0.1853850781917572,False
1,12,8,0.44839024543762207,0.21059496700763702,0.23779526352882385,0.15351103246212006,False
1,13,8,0.3893882632255554,0.15839411318302155,0.23099416494369507,0.6965189576148987,False
1,14,8,0.39689338207244873,0.17476068437099457,0.22213269770145416,0.2457001954317093,False
1,15,8,0.39642590284347534,0.181878462433815,0.21454744040966034,0.3739817142486572,False
1,16,8,0.39495378732681274,0.17897137999534607,0.21598240733146667,0.2158772200345993,False
1,17,8,0.37291425466537476,0.18179166316986084,0.19112259149551392,0.41440409421920776,False
1,18,8,0.39614808559417725,0.18491710722446442,0.21123099327087402,0.16237831115722656,False
1,19,8,0.4041183590888977,0.19995082914829254,0.20416754484176636,0.2954825460910797,False
1,20,8,0.371441125869751,0.16340002417564392,0.20804108679294586,0.35036763548851013,False
1,21,8,0.3546256422996521,0.16267021000385284,0.19195541739463806,0.28734713792800903,False
1,22,8,0.3219795823097229,0.13520586490631104,0.18677371740341187,0.22897152602672577,False
2,1,9,0.3671233057975769,0.1594036966562271,0.207719624042511,0.3247263431549072,False
2,2,9,0.37027740478515625,0.1624966263771057,0.20778076350688934,0.6200219988822937,False
2,3,9,0.38851791620254517,0.18597835302352905,0.2025395780801773,0.6500678658485413,False
2,4,9,0.3188517689704895,0.1479601413011551,0.1708916276693344,0.29563960433006287,False
2,5,9,0.39343246817588806,0.18299555778503418,0.21043691039085388,0.1676860898733139,False
2,6,8,0.35219496488571167,0.15362246334552765,0.19857251644134521,0.29979071021080017,False
2,7,8,0.3523106873035431,0.14745202660560608,0.204858660697937,0.283821165561676,False
2,8,8,0.38346022367477417,0.1677882969379425,0.21567194163799286,0.16489043831825256,False
2,9,8,0.38042134046554565,0.17521816492080688,0.20520317554473877,0.2237178385257721,False
2,10,8,0.37530577182769775,0.17951548099517822,0.19579029083251953,0.3406022787094116,False
2,11,8,0.3557707965373993,0.15425115823745728,0.20151963829994202,0.3754473626613617,False
2,12,8,0.3385915458202362,0.14342790842056274,0.19516363739967346,0.5795149207115173,False
2,13,8,0.3481685519218445,0.14906054735183716,0.19910798966884613,0.3651624023914337,False
2,14,8,0.3298911452293396,0.14448539912700653,0.18540573120117188,0.19743624329566956,False
2,15,8,0.3333972990512848,0.1445799618959427,0.1888173371553421,0.49153760075569153,False
2,16,8,0.27679526805877686,0.11717965453863144,0.15961560606956482,0.17233389616012573,False
2,17,8,0.3719630837440491,0.16529282927513123,0.20667023956775665,0.319794237613678,False
2,18,8,0.31922343373298645,0.1478862166404724,0.17133721709251404,0.3643393814563751,False
2,19,8,0.3459934592247009,0.15238583087921143,0.1936076283454895,0.44071632623672485,False
2,20,8,0.328016996383667,0.15154901146888733,0.17646798491477966,0.33533036708831787,False
2,21,8,0.32595014572143555,0.15293475985527039,0.17301538586616516,0.21329203248023987,False
2,22,8,0.32043197751045227,0.15042728185653687,0.1700046956539154,0.29108044505119324,False
3,1,9,0.27708351612091064,0.11194705963134766,0.165136456489563,0.2816997468471527,False
3,2,9,0.3073652386665344,0.13291636109352112,0.1744488924741745,0.21365202963352203,False
3,3,9,0.31140875816345215,0.12823013961315155,0.1831786036491394,0.28468000888824463,False
3,4,9,0.335283488035202,0.14863796532154083,0.1866455227136612,0.3707338571548462,False
3,5,9,0.2638518214225769,0.10411286354064941,0.15973897278308868,0.16399525105953217,False
3,6,8,0.3517817258834839,0.158543661236763,0.1932380497455597,0.18397817015647888,False
3,7,8,0.3077758550643921,0.12767674028873444,0.18009909987449646,0.23360823094844818,False
3,8,8,0.40138041973114014,0.17913299798965454,0.2222474068403244,0.48527464270591736,False
3,9,8,0.3381440043449402,0.15965430438518524,0.17848971486091614,0.2687705159187317,False
3,10,8,0.3125428259372711,0.14369907975196838,0.16884374618530273,0.2788856029510498,False
3,11,8,0.3230251669883728,0.13966095447540283,0.18336422741413116,0.21207568049430847,False
3,12,8,0.2916634678840637,0.13255782425403595,0.15910562872886658,0.5386043190956116,False
3,13,8,0.36150819063186646,0.15613055229187012,0.20537765324115753,0.5192792415618896,False
3,14,8,0.3536050021648407,0.14509347081184387,0.20851153135299683,0.3748023211956024,False
3,15,8,0.3701542317867279,0.1773950755596161,0.19275915622711182,0.15967479348182678,False
3,16,8,0.3622949719429016,0.1672234833240509,0.1950714886188507,0.5010235905647278,False
3,17,8,0.3337406516075134,0.1557634025812149,0.17797726392745972,0.48194000124931335,False
3,18,8,0.3704361319541931,0.1604393720626831,0.2099967747926712,0.40633267164230347,False
3,19,8,0.30292627215385437,0.14627785980701447,0.1566484123468399,0.3893720805644989,False
3,20,8,0.29403156042099,0.13259625434875488,0.1614353209733963,0.32939761877059937,False
3,21,8,0.3422393798828125,0.14243820309638977,0.19980116188526154,0.21540915966033936,False
3,22,8,0.3477952778339386,0.14352573454380035,0.20426954329013824,0.2161412537097931,False
4,1,9,0.27655893564224243,0.1084117442369461,0.16814717650413513,0.44090983271598816,False
4,2,9,0.25391504168510437,0.10780972242355347,0.1461053192615509,0.4884326457977295,False
4,3,9,0.36453765630722046,0.17166000604629517,0.1928776651620865,0.7252650260925293,False
4,4,9,0.32686370611190796,0.13815024495124817,0.18871347606182098,0.4573388695716858,False
4,5,9,0.292316734790802,0.12442804127931595,0.16788870096206665,0.22471563518047333,False
4,6,8,0.29661816358566284,0.12649933993816376,0.17011883854866028,0.32004314661026,False
4,7,8,0.39404892921447754,0.19467121362686157,0.19937773048877716,0.4290912449359894,False
4,8,8,0.34357208013534546,0.14940465986728668,0.19416743516921997,0.43532225489616394,False
4,9,8,0.25720351934432983,0.11263979971408844,0.1445637345314026,0.48832353949546814,False
4,10,8,0.3362997770309448,0.1493009626865387,0.18699881434440613,0.4176677167415619,False
4,11,8,0.2527731657028198,0.10658073425292969,0.14619244635105133,0.20954369008541107,False
4,12,8,0.2872835099697113,0.1281079649925232,0.1591755449771881,0.251870334148407,False
4,13,8,0.26163026690483093,0.10417719185352325,0.15745307505130768,0.2284928858280182,False
4,14,8,0.3092755675315857,0.13552327454090118,0.17375227808952332,0.6703400015830994,False
4,15,8,0.35023587942123413,0.1515883505344391,0.19864751398563385,0.5346189737319946,False
4,16,8,0.302351176738739,0.13250505924224854,0.16984613239765167,0.19937047362327576,False
4,17,8,0.2986219525337219,0.13192053139209747,0.16670143604278564,0.19506481289863586,False
4,18,8,0.2835584282875061,0.11843575537204742,0.16512268781661987,0.1356678009033203,False
4,19,8,0.33468419313430786,0.1454446166753769,0.18923956155776978,0.576339602470398,False
4,20,8,0.3066558837890625,0.1334618777036667,0.17319399118423462,0.31074920296669006,False
4,21,8,0.3211705684661865,0.13368363678455353,0.1874869465827942,0.3638564646244049,False
4,22,8,0.32107460498809814,0.14267605543136597,0.17839856445789337,0.35891813039779663,False
5,1,9,0.2775890529155731,0.13019166886806488,0.14739738404750824,0.15725922584533691,False
5,2,9,0.3217034935951233,0.1328456699848175,0.1888578236103058,0.18648062646389008,False
5,3,9,0.2759496569633484,0.11845453083515167,0.15749512612819672,0.22508779168128967,False
5,4,9,0.3173378109931946,0.13333725929260254,0.18400056660175323,0.1791008710861206,False
5,5,9,0.2846915125846863,0.13659200072288513,0.14809951186180115,0.3074875771999359,False
