condition,loss,positive_loss,negative_loss,positive_similarity_mean,negative_similarity_mean
cross_variable_variable,0.22486233711242676,0.06974196434020996,0.37998270988464355,0.9302580952644348,0.8799827694892883
cross_variable_same,0.23828229308128357,0.12802493572235107,0.34853965044021606,0.8719750642776489,0.8485396504402161
cross_same_variable,0.2268058955669403,0.09410783648490906,0.35950395464897156,0.9058921933174133,0.8595040440559387
cross_same_same,0.2319650948047638,0.07398174703121185,0.38994842767715454,0.9260182976722717,0.8899484276771545
