seed,best_epoch,cross_macro_auc,pooled_auc,pooled_eer,gain_vs_wgc,gap_to_pca_lda,fraction_gap_recovered,cross_same_same_auc,cross_same_variable_auc,cross_variable_same_auc,cross_variable_variable_auc
42,10,0.8374834656084656,0.8372946979717814,0.24285714285714285,0.054717813051146424,-0.00557208994709002,0.9075783892494733,0.8690476190476191,0.8418430335097001,0.7782186948853616,0.8608245149911816
123,10,0.8393077601410934,0.839215443121693,0.22916666666666663,0.056542107583774204,-0.0037477954144622405,0.9378370966267459,0.8695326278659612,0.8476851851851852,0.7784171075837744,0.8615961199294533
2026,10,0.835598544973545,0.835632991622575,0.2400793650793651,0.052832892416225796,-0.007457010582010648,0.8763141054941028,0.8708553791887125,0.8467813051146384,0.7741181657848325,0.8506393298059965
