epoch,batch,batch_size,base_loss,arabic_metric_loss,cross_metric_loss,gradient_norm_before_clip,gradient_clipping_activated
10,1,8,0.30140432715415955,0.13000398874282837,0.17140033841133118,0.3239077925682068,False
10,2,8,0.2800033688545227,0.11785849928855896,0.16214485466480255,0.26670894026756287,False
10,3,8,0.24317792057991028,0.09486684948205948,0.1483110636472702,0.39322400093078613,False
10,4,8,0.22519566118717194,0.08696393668651581,0.13823172450065613,0.19189679622650146,False
10,5,8,0.2252165675163269,0.08235111087560654,0.14286544919013977,0.2562290132045746,False
10,6,8,0.23050226271152496,0.09843583405017853,0.13206642866134644,0.3138691186904907,False
10,7,8,0.25980642437934875,0.09374234080314636,0.1660640835762024,0.23230615258216858,False
10,8,8,0.20843146741390228,0.07499663531780243,0.13343483209609985,0.2980863153934479,False
10,9,8,0.23937636613845825,0.10065767914056778,0.13871869444847107,0.20111306011676788,False
10,10,8,0.24248531460762024,0.11049510538578033,0.1319902092218399,0.3018142879009247,False
10,11,8,0.24339154362678528,0.08237295597791672,0.16101858019828796,0.24883590638637543,False
10,12,8,0.22313952445983887,0.08630362898111343,0.13683590292930603,0.22018280625343323,False
10,13,8,0.21123206615447998,0.0853121355175972,0.12591993808746338,0.2868648171424866,False
10,14,8,0.2535243034362793,0.09224847704172134,0.16127583384513855,0.2204783856868744,False
10,15,8,0.23368561267852783,0.09467855840921402,0.1390070617198944,0.37662473320961,False
10,16,8,0.2991389036178589,0.13925623893737793,0.15988264977931976,0.32963964343070984,False
10,17,8,0.2624714970588684,0.11098916828632355,0.15148234367370605,0.3334265947341919,False
10,18,9,0.26517313718795776,0.09905922412872314,0.1661139279603958,0.31988704204559326,False
