representation,target,observed_auc,permuted_mean_auc,permuted_std_auc,permuted_min_auc,permuted_max_auc,empirical_p_upper
imagenet_initialization,script,0.9991230867346939,0.5009247448979592,0.050079743565783735,0.39253826530612246,0.6131218112244899,0.047619047619047616
imagenet_initialization,text_condition,0.9998405612244898,0.5316764987244899,0.03615214929237279,0.46835140306122447,0.5957429846938777,0.047619047619047616
self_supervised_moco,script,1.0,0.48229830994897965,0.04404317024281159,0.3985172193877551,0.5510204081632653,0.047619047619047616
self_supervised_moco,text_condition,0.9998405612244898,0.5167370854591837,0.04883821501055286,0.43215880102040816,0.5876913265306123,0.047619047619047616
imagenet_initialized_dynamic_metric,script,0.9985650510204082,0.48962850765306126,0.05372135383905602,0.38839285714285715,0.5779655612244898,0.047619047619047616
imagenet_initialized_dynamic_metric,text_condition,0.9997608418367347,0.5080476721938776,0.04744938559587734,0.41621492346938777,0.5830676020408165,0.047619047619047616
ssl_initialized_dynamic_metric,script,0.9999202806122449,0.4800302933673469,0.051182183307904014,0.3684630102040817,0.5690369897959183,0.047619047619047616
ssl_initialized_dynamic_metric,text_condition,0.998405612244898,0.5146603954081633,0.0422825729757295,0.44005102040816324,0.5843431122448979,0.047619047619047616
