epoch,train_loss,train_top1_accuracy,train_top5_accuracy,validation_loss,validation_top1_accuracy,validation_top5_accuracy,train_top1_percent,train_top5_percent,validation_top1_percent,validation_top5_percent
1,6.438644797401091,0.0,0.0022123893805309734,5.498349738332022,0.017699115044247787,0.04424778761061947,0.0,0.22123893805309736,1.7699115044247788,4.424778761061947
2,5.563933110870091,0.008849557522123894,0.015486725663716814,5.366050627379291,0.017699115044247787,0.061946902654867256,0.8849557522123894,1.5486725663716814,1.7699115044247788,6.1946902654867255
3,5.368726380103458,0.017699115044247787,0.046460176991150445,5.325602696005222,0.017699115044247787,0.05309734513274336,1.7699115044247788,4.646017699115045,1.7699115044247788,5.3097345132743365
4,5.202451790328574,0.03982300884955752,0.11061946902654868,5.2955381342795045,0.02654867256637168,0.0752212389380531,3.982300884955752,11.061946902654867,2.6548672566371683,7.52212389380531
5,5.047750418165089,0.061946902654867256,0.17256637168141592,5.2605354089652545,0.035398230088495575,0.084070796460177,6.1946902654867255,17.25663716814159,3.5398230088495577,8.4070796460177
6,4.905400782559825,0.08628318584070796,0.2234513274336283,5.233642561245809,0.02654867256637168,0.07964601769911504,8.628318584070795,22.345132743362832,2.6548672566371683,7.964601769911504
7,4.772551916341866,0.09734513274336283,0.2588495575221239,5.218974974303119,0.030973451327433628,0.08849557522123894,9.734513274336283,25.88495575221239,3.0973451327433628,8.849557522123893
8,4.6448813455294715,0.12831858407079647,0.33185840707964603,5.1996121701941025,0.02654867256637168,0.10176991150442478,12.831858407079647,33.1858407079646,2.6548672566371683,10.176991150442479
9,4.514987131135654,0.17256637168141592,0.37610619469026546,5.1760405692379035,0.030973451327433628,0.10176991150442478,17.25663716814159,37.610619469026545,3.0973451327433628,10.176991150442479
10,4.384129017855214,0.19690265486725664,0.42035398230088494,5.163522311016521,0.03982300884955752,0.09292035398230089,19.690265486725664,42.0353982300885,3.982300884955752,9.29203539823009
11,4.270056876461063,0.25,0.4911504424778761,5.144982608018723,0.04424778761061947,0.09292035398230089,25.0,49.11504424778761,4.424778761061947,9.29203539823009
12,4.145064661988115,0.2942477876106195,0.5619469026548672,5.137278670758272,0.04424778761061947,0.12831858407079647,29.424778761061948,56.19469026548673,4.424778761061947,12.831858407079647
13,4.044010280507855,0.3141592920353982,0.584070796460177,5.128954026551373,0.035398230088495575,0.14601769911504425,31.41592920353982,58.4070796460177,3.5398230088495577,14.601769911504425
14,3.944681965144335,0.33185840707964603,0.6482300884955752,5.117608049274546,0.04424778761061947,0.11946902654867257,33.1858407079646,64.82300884955751,4.424778761061947,11.946902654867257
15,3.8359651903135585,0.415929203539823,0.6769911504424779,5.124642692835985,0.04424778761061947,0.09734513274336283,41.5929203539823,67.69911504424779,4.424778761061947,9.734513274336283
