model,adaptation,parameters,overall_auc,eer,cross_script_auc,parameters_m,auc_gain_vs_compact,cross_gain_vs_compact,overall_pareto,cross_pareto
compact_batch_alt,task_specific_training,11176512,0.7773429715952037,0.2927489177489177,0.7460860196351268,11.176512,0.0,0.0,True,True
dinov2_s,pca225_writer_lda,22058112,0.8991255024737168,0.17386363636363636,0.8680238288497217,22.058112,0.1217825308785131,0.12193780921459496,True,True
dinov2_b,pca225_writer_lda,86583552,0.9149893385384458,0.1607142857142857,0.8900481215213357,86.583552,0.13764636694324206,0.14396210188620895,True,True
dinov2_l,pca225_writer_lda,304372736,0.8947486665120593,0.1785714285714286,0.8634247448979591,304.372736,0.1174056949168556,0.11733872526283229,False,False
dinov2_g,pca225_writer_lda,1136486912,0.918100327252113,0.15773809523809523,0.8988984230055659,1136.486912,0.14075735565690928,0.1528124033704391,True,True
