training_seed,control_auc,batch_alt_auc,control_eer,batch_alt_eer,auc_gain,eer_change_pp
42,0.7441469864460937,0.785573689703154,0.329978354978355,0.2862554112554112,0.04142670325706033,-4.372294372294378
123,0.7387890383426098,0.7764246418264277,0.32738095238095233,0.29166666666666663,0.03763560348381789,-3.57142857142857
2026,0.7382791563595135,0.7700305832560297,0.34523809523809523,0.3003246753246753,0.03175142689651622,-4.49134199134199
