training_seed,epoch,metric_loss,script_loss,script_accuracy,encoder_grad_norm,validation_auc,validation_eer,checkpoint_selected
123,1,0.19613044865821538,0.6422699940832037,0.8761061946902655,1.8740629564251816,0.7068340451710986,0.35703463203463204,True
123,2,0.17880381120924363,0.5552796920140585,0.959070796460177,1.99685523802774,0.7138854263296228,0.3477272727272727,True
123,3,0.16315209460363053,0.499200911898362,0.9491150442477876,1.9482386488663523,0.7216256957328384,0.34523809523809523,True
123,4,0.15049977378364196,0.4468446326883216,0.9469026548672567,2.1594524216233637,0.730623840445269,0.33051948051948055,True
123,5,0.15157274431303927,0.40451579292615253,0.9557522123893806,2.1176756139387165,0.7328617810760667,0.3303571428571429,True
123,6,0.1394717256750977,0.37256190285348056,0.9391592920353983,2.327737383675157,0.7387890383426098,0.32738095238095233,True
123,7,0.13331931149750426,0.3504353798272317,0.9435840707964602,2.2734887516289426,0.7316498853329211,0.3429112554112554,False
123,8,0.12493051523179338,0.3393517178401612,0.9446902654867256,2.1756492016608253,0.7327874568387961,0.3392857142857143,False
123,9,0.12465691200473852,0.32283470296023187,0.9413716814159292,2.3375793068032515,0.7174615253298289,0.34523809523809523,False
123,10,0.11723369948173824,0.309004510180992,0.9402654867256637,2.280776354304531,0.7234037601783138,0.3502164502164502,False
