training_seed,control_within_auc,batch_within_auc,control_cross_auc,batch_cross_auc,within_auc_gain,cross_auc_gain
42,0.8524002782931355,0.8485824443413729,0.7277278525046382,0.7555934021335807,-0.003817833951762606,0.0278655496289425
123,0.8475823283858999,0.8440572820037107,0.7232563195732838,0.7475359461966604,-0.003525046382189201,0.02427962662337657
2026,0.8430252782931354,0.8452632189239333,0.7229403409090909,0.7351287105751392,0.002237940630797852,0.012188369666048304
