training_seed,epoch,metric_loss,script_loss,script_accuracy,encoder_grad_norm,validation_auc,validation_eer,checkpoint_selected
123,1,0.19710173052653931,0.6025416453679403,0.9015486725663717,1.9744637702640735,0.7060143849206348,0.3660714285714286,True
123,2,0.18840465119533373,0.6415753835125974,0.7466814159292036,2.092460552851359,0.7257751301278087,0.34226190476190477,True
123,3,0.17027054596365543,0.7058699821171007,0.4745575221238938,2.0293004910151162,0.7410603161719235,0.3273809523809524,True
123,4,0.15989757250798375,0.6984465216335497,0.48672566371681414,2.1902454359489574,0.7487621753246754,0.32305194805194803,True
123,5,0.15998881323295727,0.6869791777510392,0.5442477876106194,2.1678378728398107,0.7569173881673881,0.3211038961038961,True
123,6,0.1493420908064173,0.6997597614924113,0.459070796460177,2.3138257097779658,0.7654997841939807,0.30952380952380953,True
123,7,0.141661767896853,0.6828103232802006,0.5619469026548672,2.3795738220214844,0.7482286996237889,0.32440476190476186,False
123,8,0.1375266951427125,0.6949554148473238,0.48451327433628316,2.1957628622389675,0.7764246418264277,0.29166666666666663,True
123,9,0.13770807639025806,0.6920599153167323,0.5309734513274337,2.449253464999952,0.7700305027313955,0.31147186147186146,False
123,10,0.12930559380012646,0.6833168372773287,0.5785398230088495,2.4472845855512118,0.7723859288033394,0.30654761904761907,False
