condition,auc,eer,pairs,genuine_pairs,impostor_pairs,baseline_auc,auc_change_vs_baseline,auc_drop_vs_baseline
cross_same_same,0.8581349206349206,0.2222222222222222,1296,36,1260,0.8690476190476191,-0.010912698412698485,0.010912698412698485
cross_same_variable,0.8373897707231042,0.22301587301587303,1296,36,1260,0.8418430335097001,-0.004453262786595968,0.004453262786595968
cross_variable_same,0.7671957671957672,0.2920634920634921,1296,36,1260,0.7782186948853616,-0.011022927689594342,0.011022927689594342
cross_variable_variable,0.8390652557319224,0.25,1296,36,1260,0.8608245149911816,-0.021759259259259256,0.021759259259259256
