method,condition,exploration_auc,monitor_auc,monitor_minus_exploration
cls_cosine,pooled,0.6606991735600256,0.6768571127946128,0.016157939234587193
cls_cosine,cross_macro,0.6656054454992217,0.684340628507295,0.01873518300807331
cls_cosine,cross_variable_variable,0.6694118006165868,0.6938608305274971,0.024449029910910358
cls_cosine,cross_variable_same,0.6221696529409969,0.6241975308641975,0.002027877923200583
cls_cosine,cross_same_variable,0.6905741582979763,0.7244893378226711,0.033915179524694805
cls_cosine,cross_same_same,0.6802661701413266,0.6948148148148148,0.014548644673488154
foreground_mean_cosine,pooled,0.6139518024480327,0.621871492704826,0.007919690256793288
foreground_mean_cosine,cross_macro,0.634110298830927,0.6421071829405163,0.00799688410958932
foreground_mean_cosine,cross_variable_variable,0.6583773389090687,0.6524803591470258,-0.005896979762042842
foreground_mean_cosine,cross_variable_same,0.5705320350416654,0.5653423120089787,-0.005189723032686722
foreground_mean_cosine,cross_same_variable,0.6529608375812703,0.7012233445566779,0.04826250697540757
foreground_mean_cosine,cross_same_same,0.6545709837917035,0.6493827160493827,-0.00518826774232084
mutual_nearest_token,pooled,0.6299693232807302,0.6352967171717171,0.005327393890986909
mutual_nearest_token,cross_macro,0.657874835932969,0.6616077441077441,0.003732908174775118
mutual_nearest_token,cross_variable_variable,0.6892524648209762,0.681952861952862,-0.007299602868114263
mutual_nearest_token,cross_variable_same,0.5739812582033516,0.569719416386083,-0.004261841817268519
mutual_nearest_token,cross_same_variable,0.6912426360611703,0.7337485970819304,0.0425059610207601
mutual_nearest_token,cross_same_same,0.6770229846463783,0.661010101010101,-0.016012883636277286
cls_mutual_equal_fusion,pooled,0.6565132703519428,0.6653423120089786,0.008829041657035797
cls_mutual_equal_fusion,cross_macro,0.6740720673972102,0.6843518518518519,0.010279784454641727
cls_mutual_equal_fusion,cross_variable_variable,0.6919172186441195,0.6940179573512907,0.0021007387071712014
cls_mutual_equal_fusion,cross_variable_same,0.6061719727725039,0.6005611672278339,-0.005610805544669972
cls_mutual_equal_fusion,cross_same_variable,0.7061841824120143,0.7528395061728395,0.04665532376082515
cls_mutual_equal_fusion,cross_same_same,0.6920148957602027,0.6899887766554433,-0.0020261191047593607
