variant,training_seed,epoch,gamma,use_stability_weights,train_base_loss,train_arabic_metric_loss,train_cross_metric_loss,train_distillation_loss,train_scaled_distillation_loss,train_total_loss,train_gradient_norm,selection_cross_macro_auc,selection_pooled_auc,selection_pooled_eer,selection_cross_macro_eer,checkpoint_selected,cross_same_same_auc,cross_same_same_eer,cross_same_variable_auc,cross_same_variable_eer,cross_variable_same_auc,cross_variable_same_eer,cross_variable_variable_auc,cross_variable_variable_eer
unweighted_tgd,42,1,0.0609260901801979,False,0.41105397542317706,0.19147200302945244,0.21958197156588236,0.5990404784679413,0.036497194319963455,0.447551170984904,1.042012568977144,0.7265046296296296,0.7239473104056438,0.34563492063492063,0.32222222222222224,True,0.7655864197530864,0.2777777777777778,0.6855379188712523,0.34365079365079365,0.6864638447971781,0.36111111111111116,0.7684303350970018,0.30634920634920637
unweighted_tgd,42,2,0.0609260901801979,False,0.38576946490340763,0.17429012639655006,0.21147933933469984,0.5386895967854394,0.032820251459876694,0.4185897178120083,1.0701495442125533,0.7435681216931218,0.7434096671075839,0.3055555555555556,0.2924603174603175,True,0.7850749559082892,0.25,0.7136684303350971,0.3055555555555556,0.6976631393298061,0.33333333333333337,0.7778659611992945,0.28095238095238095
unweighted_tgd,42,3,0.0609260901801979,False,0.36278025309244794,0.16185571832789314,0.20092453476455477,0.5225411239597533,0.03183638790829314,0.39461664027637905,1.1375495261616178,0.7540729717813052,0.7546833664021164,0.29861111111111116,0.2922619047619047,True,0.7953483245149912,0.2619047619047619,0.7326499118165786,0.30634920634920637,0.7055555555555555,0.32301587301587303,0.7827380952380952,0.2777777777777778
unweighted_tgd,42,4,0.0609260901801979,False,0.356488898396492,0.15882520294851726,0.1976636987593439,0.5092092586888207,0.03102412995778852,0.38751302493943107,1.291089203622606,0.762389770723104,0.7622795414462082,0.29861111111111116,0.2924603174603174,True,0.803152557319224,0.2626984126984127,0.7445767195767196,0.3126984126984127,0.7134920634920635,0.3055555555555556,0.7883377425044091,0.28888888888888886
unweighted_tgd,42,5,0.0609260901801979,False,0.34579361644056106,0.15100566090808976,0.19478795760207707,0.48827852805455524,0.0297489022422168,0.3755425165096919,1.2264148361153073,0.7666005291005291,0.7665481701940036,0.29662698412698413,0.29543650793650794,True,0.804431216931217,0.2777777777777778,0.7496693121693122,0.3055555555555556,0.7201499118165785,0.31587301587301586,0.7921516754850089,0.28253968253968254
unweighted_tgd,42,6,0.0609260901801979,False,0.33090711302227444,0.14392023368014228,0.18698687685860527,0.46209783024258083,0.028153814375400543,0.3590609282255173,1.375954035255644,0.7687610229276896,0.7690765542328042,0.29305555555555557,0.29285714285714287,True,0.8104497354497354,0.2507936507936508,0.7585317460317459,0.3055555555555556,0.723831569664903,0.32222222222222224,0.782231040564374,0.29285714285714287
unweighted_tgd,42,7,0.0609260901801979,False,0.31689268350601196,0.1351191165546576,0.18177356984880236,0.4461149788565106,0.027180041703912947,0.3440727260377672,1.3012769122918446,0.7691468253968254,0.7696442350088183,0.29166666666666663,0.292063492063492,True,0.8109126984126984,0.2515873015873016,0.7606261022927688,0.3055555555555556,0.7232804232804233,0.33015873015873015,0.7817680776014109,0.28095238095238095
unweighted_tgd,42,8,0.0609260901801979,False,0.31518813636567855,0.13534032139513227,0.17984781331486172,0.45613308747609455,0.027790405580566988,0.3429785403940413,1.4799191852410634,0.7712356701940035,0.7713114528218695,0.3061507936507937,0.30357142857142855,True,0.8162257495590829,0.2698412698412698,0.762147266313933,0.3126984126984127,0.7309303350970018,0.33015873015873015,0.7756393298059965,0.30158730158730157
unweighted_tgd,42,9,0.0609260901801979,False,0.30501290824678207,0.12959533226158884,0.1754175772269567,0.42555556032392716,0.025927436951961782,0.3309403409560521,1.455045719941457,0.778339947089947,0.7781236221340389,0.2990079365079365,0.2972222222222222,True,0.82010582010582,0.25,0.7726851851851853,0.3055555555555556,0.737742504409171,0.3277777777777778,0.782826278659612,0.3055555555555556
unweighted_tgd,42,10,0.0609260901801979,False,0.29050540179014206,0.12034595385193825,0.17015944669644037,0.4039420717292362,0.024610611403154,0.3151160130898158,1.4525393678082361,0.7757220017636685,0.7761601631393299,0.31567460317460316,0.3081349206349206,False,0.8208112874779542,0.25396825396825395,0.7700176366843035,0.3198412698412698,0.7376322751322751,0.3357142857142857,0.7744268077601411,0.32301587301587303
