variant,gamma,use_stability_weights,batch_size,base_loss,distillation_loss,scaled_distillation_loss,total_loss,gradient_norm_before_clip,parameter_update_norm,maximum_absolute_update,initial_parameter_checksum,final_parameter_checksum,frozen_gradients_present,missing_keys,unexpected_keys,optimizer_step_performed,selection_evaluated,monitor_used,validation_used,official_test_used
unweighted_tgd,0.0609260901801979,False,8,0.38071537017822266,0.5823712944984436,0.03548160567879677,0.4161969721317291,1.2124576568603516,0.026576682067274957,1.0013580322265625e-05,-9429.818359672121,-9430.161813400642,False,[],[],True,False,False,False,False
stgd,0.06078678356501063,True,8,0.38071537017822266,0.5826286673545837,0.035416122525930405,0.41613149642944336,1.2125933170318604,0.02657669764146239,1.0013580322265625e-05,-9429.818359672121,-9430.161332702854,False,[],[],True,False,False,False,False
