variant,training_seed,epoch,gamma,use_stability_weights,train_base_loss,train_arabic_metric_loss,train_cross_metric_loss,train_distillation_loss,train_scaled_distillation_loss,train_total_loss,train_gradient_norm,selection_cross_macro_auc,selection_pooled_auc,selection_pooled_eer,selection_cross_macro_eer,checkpoint_selected,cross_same_same_auc,cross_same_same_eer,cross_same_variable_auc,cross_same_variable_eer,cross_variable_same_auc,cross_variable_same_eer,cross_variable_variable_auc,cross_variable_variable_eer
stgd,42,1,0.06078678356501063,True,0.4110522468884786,0.19147039535972807,0.21958185152875054,0.5994979490836462,0.036441551935341626,0.4474938015143077,1.0419309006796942,0.7265376984126984,0.7239466214726631,0.34523809523809523,0.32222222222222224,True,0.7655864197530864,0.2777777777777778,0.6855599647266314,0.34365079365079365,0.6865299823633157,0.36111111111111116,0.7684744268077601,0.30634920634920637
stgd,42,2,0.06078678356501063,True,0.38576212028662366,0.1742869797680113,0.21147514217429692,0.5392156160540051,0.03277718286133475,0.4185393038723204,1.0702778928809695,0.7435736331569665,0.7434117339065255,0.3055555555555556,0.2922619047619048,True,0.7851410934744267,0.25,0.7136022927689594,0.3055555555555556,0.6976631393298061,0.33333333333333337,0.7778880070546738,0.28015873015873016
stgd,42,3,0.06078678356501063,True,0.3627774765094121,0.16186054795980453,0.20091693268881905,0.5227758155928718,0.03177786049329572,0.39455533358785844,1.137815962235133,0.7540013227513227,0.7546716545414462,0.29861111111111116,0.29166666666666663,True,0.7952821869488536,0.26031746031746034,0.7325396825396826,0.30634920634920637,0.7055335097001764,0.32222222222222224,0.7826499118165785,0.2777777777777778
stgd,42,4,0.06078678356501063,True,0.3564817938539717,0.15882558623949686,0.19765620595879024,0.5093740506304635,0.0309632100785772,0.38744500279426575,1.2906028893258836,0.7623842592592592,0.7622774746472663,0.29861111111111116,0.2922619047619047,True,0.8030202821869489,0.2634920634920635,0.7446208112874779,0.3119047619047619,0.7134700176366844,0.3055555555555556,0.7884259259259259,0.28809523809523807
stgd,42,5,0.06078678356501063,True,0.34579994281133014,0.15101373692353567,0.19478620754347908,0.4881968531343672,0.029675916561649904,0.37547586030430263,1.227250552839703,0.7664572310405644,0.7664530974426808,0.29662698412698413,0.29543650793650794,True,0.8042107583774251,0.2777777777777778,0.7494047619047618,0.3055555555555556,0.720083774250441,0.31587301587301586,0.7921296296296296,0.28253968253968254
stgd,42,6,0.06078678356501063,True,0.3309117555618286,0.14392931221259964,0.18698243879609638,0.4621172977818383,0.028090624138712883,0.35900237825181747,1.3754016955693562,0.7687169312169313,0.7690352182539683,0.29365079365079366,0.29325396825396827,True,0.810273368606702,0.2515873015873016,0.7584656084656084,0.3047619047619048,0.7238536155202823,0.32301587301587303,0.7822751322751322,0.29365079365079366
stgd,42,7,0.06078678356501063,True,0.3168825838300917,0.1351180039346218,0.18176458362076017,0.44640395045280457,0.02713546022358868,0.3440180453989241,1.2994931307103899,0.769075176366843,0.7695725859788359,0.29166666666666663,0.2922619047619047,True,0.8108686067019399,0.25317460317460316,0.760626102292769,0.3055555555555556,0.723126102292769,0.32936507936507936,0.7816798941798941,0.28095238095238095
stgd,42,8,0.06078678356501063,True,0.3151969263950984,0.13536848003665605,0.17982844677236345,0.456847682595253,0.02777030122362905,0.3429672287570106,1.4821579787466261,0.7711309523809524,0.7711688436948854,0.3055555555555556,0.30257936507936506,True,0.8160493827160493,0.26904761904761904,0.7620149911816578,0.30952380952380953,0.7309303350970018,0.32857142857142857,0.7755291005291005,0.30317460317460315
stgd,42,9,0.06078678356501063,True,0.30502427121003467,0.12959421964155304,0.17543004949887595,0.42560483515262604,0.02587114916079574,0.33089541892210644,1.4569927917586432,0.7783013668430335,0.7781374007936508,0.29861111111111116,0.2972222222222222,True,0.8198192239858907,0.25,0.7725088183421516,0.3055555555555556,0.7379188712522047,0.3277777777777778,0.7829585537918872,0.3055555555555556
stgd,42,10,0.06078678356501063,True,0.29054298003514606,0.12034760208593474,0.17019537753529018,0.4040320548746321,0.024559809205432732,0.3151027916206254,1.4518684678607516,0.7757275132275132,0.7761904761904763,0.31527777777777777,0.30853174603174605,False,0.8207892416225749,0.25476190476190474,0.7701719576719576,0.3198412698412698,0.7375881834215168,0.33650793650793653,0.7743606701940036,0.32301587301587303
