batch_size,writers,base_loss,arabic_metric_loss,cross_metric_loss,distillation_loss,scaled_distillation_loss,total_loss,gradient_norm_before_clip,frozen_gradients_present,backbone_training_flag,layer4_training_flag,epoch,batch
8,"[142, 39, 155, 208, 178, 213, 59, 77]",0.3270936608314514,0.1506960391998291,0.17639760673046112,0.43318116664886475,0.026331689208745956,0.35342535376548767,1.2027090787887573,False,False,False,10,1
8,"[135, 11, 234, 94, 263, 220, 246, 105]",0.3088642656803131,0.14031821489334106,0.16854605078697205,0.36506718397140503,0.022191260010004044,0.33105552196502686,1.4382120370864868,False,False,False,10,2
8,"[78, 19, 97, 127, 209, 3, 85, 242]",0.3151664435863495,0.13351771235466003,0.18164873123168945,0.41790008544921875,0.025402802973985672,0.34056925773620605,1.8937244415283203,False,False,False,10,3
8,"[197, 228, 265, 199, 104, 1, 164, 264]",0.28191810846328735,0.11531233787536621,0.16660577058792114,0.38786444067955017,0.02357703261077404,0.30549514293670654,1.6756891012191772,False,False,False,10,4
8,"[124, 240, 185, 83, 90, 211, 243, 168]",0.22596807777881622,0.08921284973621368,0.13675522804260254,0.3325132727622986,0.020212411880493164,0.2461804896593094,1.2772082090377808,False,False,False,10,5
8,"[201, 252, 38, 189, 183, 46, 276, 57]",0.29231566190719604,0.12649011611938477,0.16582554578781128,0.37867581844329834,0.02301848493516445,0.31533414125442505,1.1891354322433472,False,False,False,10,6
8,"[47, 119, 76, 245, 281, 267, 225, 62]",0.31823861598968506,0.10666333138942719,0.21157526969909668,0.40509161353111267,0.024624215438961983,0.3428628444671631,1.238618016242981,False,False,False,10,7
8,"[221, 214, 262, 147, 107, 2, 223, 27]",0.32321804761886597,0.14359933137893677,0.179618701338768,0.4114542603492737,0.025010980665683746,0.3482290208339691,1.263778567314148,False,False,False,10,8
8,"[122, 81, 98, 103, 55, 133, 196, 273]",0.3146902322769165,0.11991789937019348,0.19477233290672302,0.4226428270339966,0.025691097602248192,0.34038132429122925,1.3828723430633545,False,False,False,10,9
8,"[25, 20, 203, 140, 56, 232, 29, 191]",0.29349058866500854,0.13037309050559998,0.16311749815940857,0.427362859249115,0.02597801387310028,0.31946861743927,1.5551878213882446,False,False,False,10,10
8,"[75, 256, 156, 250, 118, 255, 249, 247]",0.26960572600364685,0.09507724642753601,0.17452847957611084,0.41086462140083313,0.024975139647722244,0.29458087682724,1.3192822933197021,False,False,False,10,11
8,"[31, 172, 100, 169, 70, 179, 244, 26]",0.27645811438560486,0.10796024650335312,0.16849786043167114,0.3498462736606598,0.0212660301476717,0.2977241575717926,1.3763450384140015,False,False,False,10,12
8,"[206, 227, 229, 274, 30, 192, 162, 231]",0.2724800109863281,0.10266770422458649,0.16981232166290283,0.4396792948246002,0.02672669105231762,0.2992067039012909,1.3845956325531006,False,False,False,10,13
8,"[123, 134, 226, 157, 260, 49, 8, 92]",0.3034546375274658,0.1322767585515976,0.17117789387702942,0.46140503883361816,0.02804732881486416,0.33150196075439453,2.2288241386413574,False,False,False,10,14
8,"[116, 261, 138, 61, 159, 40, 167, 110]",0.2864357829093933,0.12663325667381287,0.15980252623558044,0.4365139901638031,0.02653428167104721,0.3129700720310211,1.5446025133132935,False,False,False,10,15
8,"[212, 22, 241, 146, 158, 153, 96, 152]",0.23374812304973602,0.0963095873594284,0.13743853569030762,0.369293212890625,0.02244814671576023,0.2561962604522705,1.7726993560791016,False,False,False,10,16
8,"[101, 188, 180, 251, 125, 21, 74, 181]",0.32474422454833984,0.14263305068016052,0.18211118876934052,0.4791496694087982,0.029125967994332314,0.3538701832294464,1.4215381145477295,False,False,False,10,17
9,"[207, 71, 235, 7, 171, 163, 272, 65, 198]",0.26188331842422485,0.10659806430339813,0.15528525412082672,0.3440713584423065,0.020914990454912186,0.28279832005500793,0.9686102867126465,False,False,False,10,18
