condition,auc,eer,eer_threshold,pairs,genuine_pairs,impostor_pairs
cross_variable_variable,0.8559523809523809,0.2222222222222222,0.11117213072835422,1296,36,1260
cross_variable_same,0.8102954144620812,0.2777777777777778,0.06497505713592874,1296,36,1260
cross_same_variable,0.9125,0.13888888888888884,0.11966125170389813,1296,36,1260
cross_same_same,0.9248456790123457,0.19444444444444442,0.0981644103113486,1296,36,1260
