condition,wgc_auc,unweighted_tgd_auc,stgd_auc,tgd_minus_wgc,stgd_minus_wgc,stgd_minus_tgd
cross_same_same,0.825617,0.82010582010582,0.8198192239858907,-0.0055111798941800405,-0.005797776014109357,-0.00028659611992931655
cross_same_variable,0.777976,0.7726851851851853,0.7725088183421516,-0.005290814814814748,-0.00546718165784843,-0.00017636684303368177
cross_variable_same,0.738382,0.737742504409171,0.7379188712522047,-0.0006394955908289868,-0.000463128747795305,0.00017636684303368177
cross_variable_variable,0.789087,0.782826278659612,0.7829585537918872,-0.00626072134038802,-0.006128446208112814,0.00013227513227520582
