batch_size,writers,base_loss,arabic_metric_loss,cross_metric_loss,distillation_loss,scaled_distillation_loss,total_loss,gradient_norm_before_clip,frozen_gradients_present,backbone_training_flag,layer4_training_flag,epoch,batch
8,"[140, 267, 192, 262, 164, 198, 172, 40]",0.2975223958492279,0.12023046612739563,0.17729192972183228,0.45999836921691895,0.028025902807712555,0.32554829120635986,1.277908205986023,False,False,False,9,1
8,"[264, 229, 183, 74, 103, 201, 232, 242]",0.3261418342590332,0.15124790370464325,0.17489393055438995,0.4573323726654053,0.027863474562764168,0.3540053069591522,1.7910739183425903,False,False,False,9,2
8,"[265, 65, 100, 83, 196, 118, 249, 125]",0.2930886149406433,0.13495440781116486,0.15813420712947845,0.35651129484176636,0.02172083966434002,0.3148094415664673,1.3456673622131348,False,False,False,9,3
8,"[207, 21, 223, 20, 11, 213, 56, 247]",0.28364354372024536,0.11999461054801941,0.16364894807338715,0.3796223998069763,0.02312890812754631,0.3067724406719208,1.354923129081726,False,False,False,9,4
8,"[156, 75, 47, 138, 260, 127, 240, 124]",0.28393614292144775,0.10298790037631989,0.18094825744628906,0.38604339957237244,0.02352011576294899,0.30745625495910645,1.0859768390655518,False,False,False,9,5
8,"[119, 61, 107, 241, 221, 135, 19, 181]",0.313923180103302,0.13197916746139526,0.18194401264190674,0.4731117784976959,0.028824850916862488,0.3427480459213257,1.7236803770065308,False,False,False,9,6
8,"[38, 57, 252, 104, 178, 105, 133, 208]",0.36064910888671875,0.17048154771327972,0.19016757607460022,0.5328137278556824,0.03246225789189339,0.39311137795448303,1.1755646467208862,False,False,False,9,7
8,"[142, 46, 116, 226, 39, 123, 272, 171]",0.29502683877944946,0.12440544366836548,0.1706213802099228,0.42367348074913025,0.025812769308686256,0.32083961367607117,1.2910515069961548,False,False,False,9,8
8,"[22, 209, 180, 168, 147, 246, 197, 158]",0.27904024720191956,0.13548541069030762,0.14355483651161194,0.3592686057090759,0.02188883163034916,0.30092906951904297,1.889701247215271,False,False,False,9,9
8,"[261, 92, 274, 27, 8, 81, 188, 49]",0.27358484268188477,0.10722005367279053,0.16636478900909424,0.3621475398540497,0.02206423319876194,0.29564908146858215,1.2336136102676392,False,False,False,9,10
8,"[110, 203, 3, 159, 245, 153, 77, 1]",0.3242861032485962,0.15232117474079132,0.17196491360664368,0.40820127725601196,0.02487010881304741,0.3491562008857727,1.4408916234970093,False,False,False,9,11
8,"[243, 214, 256, 25, 62, 59, 234, 228]",0.31824159622192383,0.14087766408920288,0.17736393213272095,0.43775638937950134,0.0266707856208086,0.3449123799800873,1.3369979858398438,False,False,False,9,12
8,"[96, 155, 85, 70, 167, 71, 250, 163]",0.2804288864135742,0.11366651207208633,0.1667623668909073,0.3979205787181854,0.02424374595284462,0.30467262864112854,1.6190043687820435,False,False,False,9,13
8,"[122, 225, 235, 211, 162, 191, 94, 26]",0.3204086422920227,0.12355165183544159,0.19685699045658112,0.44041210412979126,0.026832588016986847,0.34724122285842896,1.5948470830917358,False,False,False,9,14
8,"[152, 101, 244, 78, 90, 227, 7, 98]",0.2574491500854492,0.10173258185386658,0.15571656823158264,0.3699527680873871,0.02253977581858635,0.2799889147281647,1.8160821199417114,False,False,False,9,15
8,"[281, 31, 189, 255, 134, 212, 30, 276]",0.3299315869808197,0.14211276173591614,0.18781882524490356,0.48466604948043823,0.02952880784869194,0.35946038365364075,1.5326021909713745,False,False,False,9,16
8,"[29, 2, 273, 199, 251, 97, 169, 146]",0.3597091734409332,0.1473502516746521,0.21235892176628113,0.5132116079330444,0.03126797825098038,0.390977144241333,1.5592716932296753,False,False,False,9,17
9,"[157, 231, 179, 185, 55, 206, 263, 220, 76]",0.2932204604148865,0.11211647093296051,0.18110400438308716,0.41735634207725525,0.025427890941500664,0.3186483383178711,1.1219650506973267,False,False,False,9,18
