batch_size,writers,base_loss,arabic_metric_loss,cross_metric_loss,distillation_loss,scaled_distillation_loss,total_loss,gradient_norm_before_clip,frozen_gradients_present,backbone_training_flag,layer4_training_flag,epoch,batch
8,"[272, 251, 146, 27, 206, 76, 159, 256]",0.39209872484207153,0.1855626255273819,0.20653608441352844,0.5332101583480835,0.03241213038563728,0.4245108664035797,1.1204156875610352,False,False,False,2,1
8,"[255, 19, 158, 75, 138, 85, 98, 90]",0.364958792924881,0.16166716814041138,0.2032916247844696,0.5530467629432678,0.033617932349443436,0.3985767364501953,0.9990736246109009,False,False,False,2,2
8,"[244, 71, 110, 196, 7, 221, 242, 231]",0.43707865476608276,0.21774080395698547,0.2193378508090973,0.5806641578674316,0.03529670834541321,0.47237536311149597,1.0940699577331543,False,False,False,2,3
8,"[119, 153, 263, 101, 100, 105, 226, 264]",0.4214808940887451,0.20093172788619995,0.22054915130138397,0.5687329769134521,0.03457145020365715,0.45605233311653137,0.8541271686553955,False,False,False,2,4
8,"[240, 59, 103, 22, 213, 162, 179, 209]",0.3851047456264496,0.16907256841659546,0.21603217720985413,0.5291661620140076,0.03216630965471268,0.41727104783058167,0.969065248966217,False,False,False,2,5
8,"[169, 2, 201, 185, 21, 133, 142, 97]",0.39358729124069214,0.17566035687923431,0.21792694926261902,0.5405243635177612,0.032856736332178116,0.42644402384757996,1.0001791715621948,False,False,False,2,6
8,"[62, 3, 246, 92, 207, 125, 155, 211]",0.36992377042770386,0.16591677069664001,0.20400698482990265,0.5066604018211365,0.030798256397247314,0.40072202682495117,1.121928334236145,False,False,False,2,7
8,"[55, 96, 191, 249, 49, 157, 124, 276]",0.3541176915168762,0.15756136178970337,0.19655634462833405,0.5789797306060791,0.035194315016269684,0.3893119990825653,1.5711385011672974,False,False,False,2,8
8,"[29, 274, 61, 245, 199, 198, 140, 172]",0.381849467754364,0.17966920137405396,0.20218028128147125,0.5623526573181152,0.03418361023068428,0.4160330891609192,0.9204671382904053,False,False,False,2,9
8,"[83, 267, 1, 77, 197, 234, 38, 252]",0.3759763836860657,0.1727745532989502,0.20320184528827667,0.4795033633708954,0.029147466644644737,0.40512385964393616,0.8515092134475708,False,False,False,2,10
8,"[262, 208, 168, 163, 118, 241, 30, 135]",0.2887241840362549,0.11774146556854248,0.1709827184677124,0.5028643012046814,0.030567502602934837,0.3192916810512543,0.972750186920166,False,False,False,2,11
8,"[229, 70, 26, 265, 223, 220, 147, 134]",0.4021575152873993,0.18346765637397766,0.21868985891342163,0.5584415197372437,0.03394586220383644,0.43610337376594543,1.1663615703582764,False,False,False,2,12
8,"[232, 192, 203, 25, 243, 20, 178, 104]",0.3870542049407959,0.18571649491786957,0.20133772492408752,0.5848099589347839,0.03554871678352356,0.42260292172431946,1.1709754467010498,False,False,False,2,13
8,"[235, 40, 39, 46, 250, 11, 31, 183]",0.4165917634963989,0.18984851241111755,0.22674325108528137,0.4564007818698883,0.027743136510252953,0.44433489441871643,1.0248534679412842,False,False,False,2,14
8,"[65, 188, 74, 225, 116, 123, 180, 167]",0.3927731513977051,0.15149609744548798,0.2412770688533783,0.49889352917671204,0.030326133593916893,0.4230992794036865,1.264905333518982,False,False,False,2,15
8,"[164, 212, 57, 78, 94, 56, 214, 156]",0.3802616000175476,0.17886057496070862,0.2014010101556778,0.5059326887130737,0.03075402043759823,0.4110156297683716,1.1945832967758179,False,False,False,2,16
8,"[127, 273, 189, 281, 81, 261, 152, 47]",0.3867924213409424,0.16226646304130554,0.22452595829963684,0.584643542766571,0.03553859889507294,0.4223310351371765,1.063868522644043,False,False,False,2,17
9,"[227, 181, 260, 107, 228, 122, 8, 247, 171]",0.4131869077682495,0.18121123313903809,0.23197567462921143,0.5810540318489075,0.035320404917001724,0.44850730895996094,0.9047302007675171,False,False,False,2,18
