representation,split,same_writer_euclidean_mean,same_writer_euclidean_median,same_writer_cosine_mean,random_writer_mean_error_mean,random_writer_mean_error_std,random_gap
raw_dinov2s_384d,fit,0.23133011162281036,0.2231743484735489,0.030477339401841164,0.27012346041202545,0.0020762675706401264,0.03879334878921509
raw_dinov2s_384d,selection,0.26174551248550415,0.25698715448379517,0.037891685962677,0.2902945338487625,0.004409004320977932,0.028549021363258376
notebook27_projection_144d,fit,0.4120967984199524,0.404031366109848,0.10129385441541672,0.7799944225549698,0.01637115295737576,0.36789762413501736
notebook27_projection_144d,selection,0.530147135257721,0.5060968399047852,0.1769438534975052,0.7846634851694108,0.030022922835142338,0.2545163499116898
