condition,loss,top1_accuracy,top5_accuracy,samples,top1_accuracy_percent,top5_accuracy_percent
arabic_train,1.2652145323500168,0.9048672566371682,0.9734513274336283,452.0,90.48672566371681,97.34513274336283
english_variable_validation,5.669019104105182,0.061946902654867256,0.1415929203539823,226.0,6.1946902654867255,14.15929203539823
english_same_test,6.111096289305561,0.04424778761061947,0.12831858407079647,226.0,4.424778761061947,12.831858407079647
