rank,linear_validation,finetuned_validation,linear_test,finetuned_test
1,4.424778761061947,6.1946902654867255,3.5398230088495577,4.424778761061947
2,6.637168141592921,7.079646017699115,5.752212389380531,6.637168141592921
3,10.619469026548673,10.176991150442479,8.849557522123893,8.849557522123893
4,10.619469026548673,11.946902654867257,11.504424778761061,11.946902654867257
5,11.946902654867257,14.15929203539823,14.15929203539823,12.831858407079647
6,14.15929203539823,18.141592920353983,15.04424778761062,15.929203539823009
7,15.04424778761062,19.02654867256637,16.371681415929203,17.25663716814159
8,16.8141592920354,20.79646017699115,16.371681415929203,17.699115044247787
9,18.58407079646018,21.68141592920354,17.699115044247787,19.02654867256637
10,20.79646017699115,24.336283185840706,18.141592920353983,20.79646017699115
11,22.123893805309734,25.663716814159294,19.469026548672566,22.566371681415927
12,23.008849557522122,27.876106194690266,20.79646017699115,23.008849557522122
13,23.451327433628318,29.20353982300885,23.008849557522122,24.336283185840706
14,24.336283185840706,30.53097345132743,24.336283185840706,26.548672566371685
15,25.221238938053098,31.858407079646017,25.221238938053098,27.876106194690266
16,27.876106194690266,34.070796460176986,26.10619469026549,29.646017699115045
17,28.31858407079646,34.070796460176986,26.10619469026549,29.646017699115045
18,29.20353982300885,34.95575221238938,27.876106194690266,30.973451327433626
19,29.646017699115045,34.95575221238938,29.646017699115045,31.858407079646017
20,30.53097345132743,36.72566371681416,30.973451327433626,32.30088495575221
21,30.53097345132743,37.610619469026545,30.973451327433626,32.743362831858406
22,30.973451327433626,38.93805309734513,31.41592920353982,33.1858407079646
23,32.30088495575221,40.707964601769916,31.858407079646017,33.1858407079646
24,33.1858407079646,41.5929203539823,31.858407079646017,34.070796460176986
25,33.1858407079646,42.0353982300885,32.30088495575221,34.51327433628318
26,34.070796460176986,42.0353982300885,33.1858407079646,34.51327433628318
27,34.51327433628318,43.36283185840708,33.6283185840708,34.95575221238938
28,37.16814159292036,43.80530973451327,34.070796460176986,36.72566371681416
29,38.05309734513274,44.24778761061947,34.51327433628318,38.05309734513274
30,38.49557522123894,44.690265486725664,34.95575221238938,39.38053097345133
31,39.823008849557525,45.57522123893805,34.95575221238938,39.38053097345133
32,40.26548672566372,46.46017699115044,35.84070796460177,42.0353982300885
33,41.150442477876105,47.78761061946903,36.72566371681416,43.80530973451327
34,41.5929203539823,48.23008849557522,37.16814159292036,44.24778761061947
35,42.47787610619469,48.67256637168141,37.16814159292036,45.13274336283185
36,42.47787610619469,50.88495575221239,37.610619469026545,46.46017699115044
37,45.57522123893805,51.32743362831859,38.49557522123894,47.34513274336283
38,46.017699115044245,53.53982300884957,38.93805309734513,47.78761061946903
39,46.46017699115044,53.98230088495575,39.823008849557525,48.23008849557522
40,46.902654867256636,53.98230088495575,40.26548672566372,49.557522123893804
41,48.23008849557522,54.424778761061944,40.707964601769916,49.557522123893804
42,48.23008849557522,55.309734513274336,41.150442477876105,50.88495575221239
43,48.23008849557522,55.309734513274336,42.47787610619469,51.76991150442478
44,48.23008849557522,55.309734513274336,42.92035398230089,51.76991150442478
45,48.67256637168141,57.52212389380531,43.36283185840708,51.76991150442478
46,49.557522123893804,57.52212389380531,43.80530973451327,52.21238938053098
47,51.32743362831859,57.52212389380531,45.13274336283185,52.654867256637175
48,52.21238938053098,58.4070796460177,45.13274336283185,53.09734513274337
49,53.09734513274337,58.849557522123895,45.57522123893805,53.53982300884957
50,53.09734513274337,59.73451327433629,46.902654867256636,53.98230088495575
51,53.53982300884957,59.73451327433629,46.902654867256636,55.309734513274336
52,54.86725663716814,59.73451327433629,48.67256637168141,55.75221238938053
53,56.63716814159292,60.17699115044248,50.0,56.19469026548673
54,56.63716814159292,60.61946902654868,50.442477876106196,56.63716814159292
55,57.52212389380531,61.06194690265486,50.442477876106196,57.52212389380531
56,57.52212389380531,61.94690265486725,50.442477876106196,57.52212389380531
57,57.9646017699115,61.94690265486725,50.88495575221239,57.52212389380531
58,58.849557522123895,62.38938053097345,50.88495575221239,58.849557522123895
59,59.73451327433629,62.83185840707964,51.32743362831859,59.29203539823009
60,60.17699115044248,63.716814159292035,51.32743362831859,59.29203539823009
61,60.17699115044248,64.15929203539822,51.32743362831859,60.17699115044248
