epoch,train_loss,train_top1_accuracy,train_top5_accuracy,mean_gradient_norm,validation_loss,validation_top1_accuracy,validation_top5_accuracy,train_top1_percent,train_top5_percent,validation_top1_percent,validation_top5_percent,gradient_norm_finite
1,3.328197783073493,0.3805309734513274,0.6106194690265486,inf,5.246556155449521,0.048672566371681415,0.10176991150442478,38.05309734513274,61.06194690265486,4.867256637168142,10.176991150442479,False
2,2.273690789146761,0.672566371681416,0.8827433628318584,31.309503019901744,5.391826562121906,0.048672566371681415,0.13716814159292035,67.2566371681416,88.27433628318585,4.867256637168142,13.716814159292035,True
3,1.6918470374250834,0.7743362831858407,0.922566371681416,37.22601385283888,5.669019104105182,0.061946902654867256,0.1415929203539823,77.43362831858407,92.2566371681416,6.1946902654867255,14.15929203539823,True
4,1.3995317526623212,0.7632743362831859,0.9513274336283186,inf,6.117584658935007,0.05309734513274336,0.12831858407079647,76.32743362831859,95.13274336283186,5.3097345132743365,12.831858407079647,False
5,1.156252354647206,0.8141592920353983,0.9491150442477876,40.52532523975038,6.2702446912242245,0.03982300884955752,0.1415929203539823,81.41592920353983,94.91150442477876,3.982300884955752,14.15929203539823,True
6,0.963080780696025,0.8805309734513275,0.9690265486725663,40.2192817654526,6.332796206516502,0.05309734513274336,0.14601769911504425,88.05309734513274,96.90265486725663,5.3097345132743365,14.601769911504425,True
7,0.7759619771906759,0.9004424778761062,0.9823008849557522,37.988135990343594,6.81695099214537,0.03982300884955752,0.13716814159292035,90.04424778761062,98.23008849557522,3.982300884955752,13.716814159292035,True
8,0.6533250144097658,0.9092920353982301,0.9911504424778761,36.20661892807274,7.142417865516865,0.05309734513274336,0.12831858407079647,90.929203539823,99.11504424778761,5.3097345132743365,12.831858407079647,True
9,0.5261749292896912,0.9292035398230089,0.9933628318584071,33.12757977268152,7.309451103210449,0.04424778761061947,0.1415929203539823,92.92035398230088,99.33628318584071,4.424778761061947,14.15929203539823,True
10,0.4376031265849561,0.9336283185840708,0.995575221238938,32.67452424032646,7.723677348246617,0.048672566371681415,0.11946902654867257,93.36283185840708,99.5575221238938,4.867256637168142,11.946902654867257,True
