epoch,ssl_loss,positive_similarity,hardest_negative_similarity,contrastive_gap,mean_gradient_norm,max_gradient_norm,skipped_steps,queue_pointer,validation_roc_auc,validation_eer_percent,validation_eer_threshold
0,,,,,,,0,0,0.6123793740981242,43.154761904761905,0.9397453546524048
1,5.779195703236403,0.8930416043221423,0.9046564603273848,-0.01161485600524248,0.9785388895368154,2.6667182445526123,0,904,0.6109412041331684,41.753246753246756,0.7989858443086798
2,6.904147751563419,0.5749661562783001,0.5967059765439645,-0.021739820265664456,1.794002588871306,3.9905025959014893,0,1808,0.6230387420119563,41.666666666666664,0.7973085618486592
3,7.106276507926198,0.14490134974599578,0.17502506043807298,-0.0301237106920772,2.5924738888191965,4.760843753814697,0,664,0.627010216965574,40.925324675324674,0.7895119786262512
4,6.979940477725679,0.104182545936345,0.13913334175569328,-0.034950795819348277,3.0317277307004,6.1622819900512695,0,1568,0.6331548102195423,40.31926406926407,0.7763570872220126
5,6.823169758889527,0.13269196763692373,0.1695598643180395,-0.03686789668111576,3.539027955679767,6.568368434906006,0,424,0.6305095759894868,40.476190476190474,0.7611631155014038
6,6.650617464453773,0.1672161946194741,0.2105186020737036,-0.0433024074542295,3.8069112807248544,11.54211711883545,0,1328,0.6355176445578231,41.07142857142857,0.7566333493190025
7,6.4767315535418755,0.205950470179715,0.246999332969761,-0.04104886279004602,4.35878973302588,7.077958106994629,0,184,0.6389479939703153,40.443722943722946,0.7477057597853921
8,6.28536343363534,0.2475711839393078,0.28926073971608307,-0.04168955577677527,5.219278430516741,9.969738006591797,0,1088,0.6456848459080602,40.17857142857143,0.744666917570706
9,6.090166885240943,0.293969441209384,0.3326168279039913,-0.038647386694607266,6.020201079613339,12.395607948303223,0,1992,0.6419220908060194,40.476190476190474,0.7343777179718017
10,5.8967169786976505,0.34192991632539615,0.37997575002862555,-0.03804583370322939,6.537792085546307,11.398066520690918,0,848,0.6514301175015461,40.17857142857143,0.7304978106842667
11,5.707289505848842,0.38575390363689016,0.42331638361896035,-0.037562479982070185,7.59055643166061,13.687188148498535,0,1752,0.6565245890022677,38.41991341991342,0.7291396422819658
12,5.50868763965843,0.43664401903773237,0.4727450026017902,-0.03610098356405783,8.5371383650113,18.930274963378906,0,608,0.6558117044166152,39.88095238095239,0.7207321588482175
13,5.319413830748702,0.4908967371041005,0.5274616771303446,-0.036564940026244164,9.384826478704943,15.60669994354248,0,1512,0.6612050833591012,39.28571428571429,0.7133862167289576
14,5.160948242761393,0.542631423463468,0.5756499940381113,-0.0330185705746433,10.347638628124136,19.441682815551758,0,368,0.6619245709647494,39.561688311688314,0.7111933166330511
15,5.020660240038306,0.5942126072910243,0.6265808099930266,-0.03236820270200225,11.059490313572166,19.32622718811035,0,1272,0.6622851602762316,39.745670995671,0.7071829004721208
16,4.919888285409033,0.6400597263622073,0.6729142071794619,-0.03285448081725462,11.89601273663276,19.091670989990234,0,128,0.6683658169707276,38.69047619047619,0.7030311553611368
17,4.787595423976932,0.6880959637660896,0.7155866188417493,-0.02749065507565973,12.01406772579767,17.486373901367188,0,1032,0.66937358276644,38.71212121212121,0.6945683327588168
18,4.709807910750397,0.7269610806442468,0.7553727868779571,-0.028411706233710254,12.21237958638014,18.894845962524414,0,1936,0.6728760017264482,38.988095238095234,0.6941714317596267
19,4.640891961291828,0.756816660968867,0.7858580211754393,-0.02904136020657233,12.8044431652643,21.062847137451172,0,792,0.6732148493867244,39.28571428571429,0.6918155506570288
20,4.570679504259497,0.7870240045332275,0.8135989216708504,-0.026574917137622833,13.09016274983904,20.954740524291992,0,1696,0.6737688588693054,38.988095238095234,0.694181895814836
