seed,candidate,writers,relation_entries,mse,rmse,mae
42,matched_control,36,1260,0.033828914165496826,0.18392638862133026,0.14842422306537628
42,wgc,36,1260,0.02999279648065567,0.17318429052829742,0.13876459002494812
123,matched_control,36,1260,0.033113718032836914,0.1819717437028885,0.14656178653240204
123,wgc,36,1260,0.029290154576301575,0.17114366590976715,0.13772641122341156
2026,matched_control,36,1260,0.034860823303461075,0.18671053647994995,0.15078769624233246
2026,wgc,36,1260,0.0315861776471138,0.17772500216960907,0.14311446249485016
