condition,control_auc_gain,wgc_auc_gain,control_eer_change,wgc_eer_change
cross_same_same,-0.001344797178130408,-0.0012125220458554242,0.0,0.008730158730158755
cross_same_variable,0.0016975308641975495,0.0016975308641974385,0.0,-0.015079365079365081
cross_variable_same,0.0015873015873014706,0.0024691358024691024,-0.023809523809523836,0.0
cross_variable_variable,0.002116402116402072,0.003373015873015972,0.0007936507936507908,-0.011111111111111127
