candidate,epoch,beta,batches,writers_seen,mean_total_loss,mean_base_loss,mean_arabic_metric_loss,mean_cross_script_metric_loss,mean_wgc_loss,mean_preclip_gradient_norm
wgc,1,0.5,23,181,0.4201134158217389,0.41466007025345514,0.19633569276851157,0.21832437748494354,0.010906690205244915,0.9412825496300407
wgc,2,0.5,23,181,0.39383493946946185,0.3861554783323537,0.17840905034023782,0.20774642799211585,0.01535892425833837,1.0269005765085635
wgc,3,0.5,23,181,0.38079524428948114,0.3730227390061254,0.17001841962337494,0.20300431938275046,0.015545011214588,1.1383459490278494
wgc,4,0.5,23,181,0.3607587308987327,0.3516115287075872,0.15791192100099896,0.19369960803052652,0.018294402033738468,1.1850757521131765
wgc,5,0.5,23,181,0.34686799153037695,0.33677506576413696,0.15040243125480154,0.1863726319178291,0.020185847402266834,1.2222019770871038
wgc,6,0.5,23,181,0.3379548308642014,0.3263784277698268,0.144102792053119,0.18227563733639923,0.023152805642103372,1.2254606070725813
wgc,7,0.5,23,181,0.33056152773940045,0.31966189457022626,0.1415533621026122,0.1781085314957992,0.021799261884196945,1.2248313064160554
wgc,8,0.5,23,181,0.3274385462636533,0.31542002766028693,0.13771312262700952,0.1777069082726603,0.024037040122177288,1.455125075319539
wgc,9,0.5,23,181,0.3159133934456369,0.30313106788241345,0.13121420015459476,0.17191686578418897,0.025564653029584366,1.4009547337241794
