system,cross_macro_auc,cross_macro_eer,pooled_auc,pooled_eer
control_raw,0.7775848765432098,0.29841269841269846,0.7781277557319224,0.3047619047619048
control_mean_std,0.7785989858906525,0.2926587301587302,0.7786940586419753,0.2988095238095238
wgc_raw,0.7827656525573192,0.28908730158730156,0.7828731261022929,0.2998015873015873
wgc_mean_std,0.7843474426807759,0.28472222222222227,0.7840691137566138,0.29861111111111116
