condition,control_relation_gain,wgc_relation_gain
cross_same_same,-0.09564594356261014,-0.08886684303350978
cross_same_variable,-0.06247795414462076,-0.05656966490299831
cross_variable_same,-0.05698853615520283,-0.055357142857142994
cross_variable_variable,-0.05833333333333335,-0.061287477954144576
