seed,control_cross_macro_auc,control_pooled_auc,control_pooled_eer,wgc_cross_macro_auc,wgc_pooled_auc,wgc_pooled_eer,cross_macro_auc_gain,pooled_auc_gain,pooled_eer_change
42,0.7775848765432098,0.7781277557319224,0.3047619047619048,0.7827656525573192,0.7828731261022929,0.2998015873015873,0.005180776014109378,0.004745370370370483,-0.004960317460317498
123,0.7798776455026455,0.7804535934744268,0.2972222222222222,0.7865740740740741,0.7870384149029983,0.3125,0.006696428571428603,0.00658482142857153,0.015277777777777779
2026,0.7759424603174604,0.7760843805114639,0.29861111111111116,0.781602733686067,0.7815972222222222,0.29861111111111116,0.005660273368606639,0.005512841710758276,0.0
