candidate,epoch,beta,mean_total_loss,mean_base_loss,mean_arabic_metric_loss,mean_cross_script_metric_loss,mean_wgc_loss,mean_preclip_gradient_norm,selection_cross_macro_auc,selection_pooled_auc,selection_pooled_eer,is_best
matched_control,1,0.0,0.41123679445849526,0.41123679445849526,0.19204674661159515,0.21919004867474237,0.01379792141314182,0.9567538268036313,0.7250055114638448,0.7223076499118165,0.3380952380952381,True
matched_control,2,0.0,0.3850771685441335,0.3850771685441335,0.1745201237499714,0.2105570418967141,0.01728525266258253,0.9859647651513418,0.741710758377425,0.7418237433862435,0.3140873015873016,True
matched_control,3,0.0,0.3628204067548116,0.3628204067548116,0.16237276875310475,0.20044763551818,0.02164724122525917,1.0446386304166582,0.7519565696649031,0.7528315145502645,0.29861111111111116,True
matched_control,4,0.0,0.35676656828986275,0.35676656828986275,0.15949084940883848,0.19727572053670883,0.022387985709226794,1.210229068994522,0.7599041005291005,0.7603298611111111,0.29861111111111116,True
matched_control,5,0.0,0.34561258885595536,0.34561258885595536,0.1513839430279202,0.19422864500019285,0.02414355520159006,1.108861459626092,0.7645557760141094,0.7646095127865961,0.30714285714285716,True
matched_control,6,0.0,0.3304048909081353,0.3304048909081353,0.14423023412624994,0.1861746542983585,0.030291714188125398,1.2592116296291351,0.7666225749559084,0.7673128858024689,0.3001984126984127,True
matched_control,7,0.0,0.3166585514942805,0.3166585514942805,0.1356949702733093,0.18096358163489235,0.031875641706089176,1.1833010282781389,0.7694389329805997,0.7700272817460319,0.29365079365079366,True
matched_control,8,0.0,0.31548982196384007,0.31548982196384007,0.13624860925806892,0.1792412143614557,0.02923455208333002,1.3475428521633148,0.7697916666666668,0.7701292438271604,0.3055555555555556,True
matched_control,9,0.0,0.30497337215476567,0.30497337215476567,0.13037358431352508,0.17459978659947714,0.03225343720987439,1.336071855492062,0.7775848765432098,0.7781277557319224,0.3047619047619048,True
matched_control,10,0.0,0.29056429614623386,0.29056429614623386,0.12130194985204273,0.169262342982822,0.03584531591170364,1.3296779261695013,0.7751047178130512,0.7756723985890652,0.3125,False
