seed,condition,control_auc,control_eer,wgc_auc,wgc_eer,auc_gain,eer_change
42,cross_variable_variable,0.7854717813051146,0.3047619047619048,0.7890873015873016,0.29523809523809524,0.0036155202821869237,-0.009523809523809545
42,cross_variable_same,0.7346340388007055,0.33333333333333337,0.7383818342151676,0.33333333333333337,0.0037477954144620185,0.0
42,cross_same_variable,0.771957671957672,0.3055555555555556,0.7779761904761905,0.3055555555555556,0.006018518518518534,0.0
42,cross_same_same,0.8182760141093474,0.25,0.8256172839506173,0.2222222222222222,0.007341269841269926,-0.02777777777777779
123,cross_variable_variable,0.7813492063492063,0.2976190476190476,0.7879188712522046,0.31825396825396823,0.006569664902998262,0.020634920634920617
123,cross_variable_same,0.7350308641975308,0.33333333333333337,0.7414462081128748,0.33333333333333337,0.0064153439153439296,0.0
123,cross_same_variable,0.776058201058201,0.31825396825396823,0.7818342151675485,0.30634920634920637,0.0057760141093474715,-0.011904761904761862
123,cross_same_same,0.8270723104056437,0.25,0.8350970017636685,0.2222222222222222,0.00802469135802486,-0.02777777777777779
2026,cross_variable_variable,0.7883597883597884,0.28095238095238095,0.7904541446208112,0.29523809523809524,0.002094356261022834,0.01428571428571429
2026,cross_variable_same,0.7299823633156967,0.3253968253968254,0.7353395061728395,0.33333333333333337,0.005357142857142838,0.007936507936507964
2026,cross_same_variable,0.76902557319224,0.29523809523809524,0.7766093474426808,0.3055555555555556,0.007583774250440878,0.010317460317460336
2026,cross_same_same,0.8164021164021165,0.25,0.8240079365079366,0.24047619047619048,0.007605820105820116,-0.009523809523809518
